#        X=           Y=           S=           P=           U=           V=         Vel=           T=         mut=         hcv=          Ax=          Ay=       Yplus=
 5.8390E-01  -4.5082E-03  -5.9759E-01   1.0050E+03   3.2011E+00  -6.7558E-01   3.2716E+00   2.7288E+02   6.3464E-08   1.9716E+02   1.8893E+01  -4.1463E+00   1.4308E+00
 5.8327E-01  -4.3714E-03  -5.9695E-01   1.0067E+03   2.0046E+00  -4.3330E-01   2.0509E+00   2.7276E+02   2.7217E-08   2.8234E+02   1.1803E+01  -2.5126E+00   1.1344E+00
 5.8257E-01  -4.2252E-03  -5.9623E-01   1.1181E+03   2.0744E+00  -4.2756E-01   2.1181E+00   2.7280E+02   2.8728E-08   2.5608E+02   1.2206E+01  -2.5113E+00   1.1530E+00
 5.8179E-01  -4.0694E-03  -5.9544E-01   1.1780E+03   1.8866E+00  -3.7348E-01   1.9232E+00   2.7280E+02   2.3539E-08   2.5730E+02   1.1096E+01  -2.1970E+00   1.0987E+00
 5.8094E-01  -3.9044E-03  -5.9457E-01   1.2447E+03   1.8025E+00  -3.4178E-01   1.8346E+00   2.7280E+02   2.0964E-08   2.5185E+02   1.0600E+01  -2.0102E+00   1.0730E+00
 5.8000E-01  -3.7304E-03  -5.9362E-01   1.3009E+03   1.7035E+00  -3.0771E-01   1.7311E+00   2.7281E+02   1.8301E-08   2.4866E+02   1.0016E+01  -1.8094E+00   1.0423E+00
 5.7896E-01  -3.5481E-03  -5.9256E-01   1.3549E+03   1.6223E+00  -2.7739E-01   1.6459E+00   2.7281E+02   1.6195E-08   2.4501E+02   9.5377E+00  -1.6308E+00   1.0163E+00
 5.7782E-01  -3.3585E-03  -5.9140E-01   1.4044E+03   1.5445E+00  -2.4814E-01   1.5643E+00   2.7282E+02   1.4353E-08   2.4174E+02   9.0793E+00  -1.4586E+00   9.9082E-01
 5.7655E-01  -3.1629E-03  -5.9012E-01   1.4507E+03   1.4735E+00  -2.2051E-01   1.4900E+00   2.7282E+02   1.2795E-08   2.3856E+02   8.6611E+00  -1.2960E+00   9.6695E-01
 5.7516E-01  -2.9631E-03  -5.8872E-01   1.4934E+03   1.4070E+00  -1.9413E-01   1.4203E+00   2.7283E+02   1.1455E-08   2.3556E+02   8.2693E+00  -1.1408E+00   9.4407E-01
 5.7363E-01  -2.7614E-03  -5.8717E-01   1.5325E+03   1.3453E+00  -1.6906E-01   1.3559E+00   2.7283E+02   1.0308E-08   2.3272E+02   7.9063E+00  -9.9335E-01   9.2240E-01
 5.7194E-01  -2.5606E-03  -5.8547E-01   1.5680E+03   1.2882E+00  -1.4525E-01   1.2963E+00   2.7283E+02   9.3272E-09   2.3004E+02   7.5696E+00  -8.5333E-01   9.0188E-01
 5.7008E-01  -2.3640E-03  -5.8360E-01   1.5993E+03   1.2357E+00  -1.2275E-01   1.2418E+00   2.7284E+02   8.4946E-09   2.2755E+02   7.2610E+00  -7.2105E-01   8.8269E-01
 5.6803E-01  -2.1756E-03  -5.8155E-01   1.6260E+03   1.1888E+00  -1.0174E-01   1.1932E+00   2.7284E+02   7.8005E-09   2.2526E+02   6.9853E+00  -5.9756E-01   8.6523E-01
 5.6579E-01  -1.9995E-03  -5.7929E-01   1.6483E+03   1.1482E+00  -8.2471E-02   1.1512E+00   2.7284E+02   7.2315E-09   2.2319E+02   6.7462E+00  -4.8430E-01   8.4984E-01
 5.6332E-01  -1.8396E-03  -5.7682E-01   1.6663E+03   1.1138E+00  -6.4999E-02   1.1157E+00   2.7284E+02   6.7707E-09   2.2137E+02   6.5440E+00  -3.8164E-01   8.3664E-01
 5.6061E-01  -1.6998E-03  -5.7410E-01   1.6802E+03   1.0859E+00  -4.9431E-02   1.0870E+00   2.7285E+02   6.4058E-09   2.1977E+02   6.3798E+00  -2.9019E-01   8.2580E-01
 5.5764E-01  -1.5830E-03  -5.7113E-01   1.6906E+03   1.0662E+00  -3.5982E-02   1.0668E+00   2.7285E+02   6.1330E-09   2.1847E+02   6.2640E+00  -2.1124E-01   8.1808E-01
 5.5439E-01  -1.4910E-03  -5.6788E-01   1.7027E+03   1.0504E+00  -2.4603E-02   1.0507E+00   2.7285E+02   5.9002E-09   2.1744E+02   6.1714E+00  -1.4444E-01   8.1189E-01
 5.5084E-01  -1.4270E-03  -5.6433E-01   1.7173E+03   1.0307E+00  -1.3513E-02   1.0308E+00   2.7285E+02   5.6373E-09   2.1648E+02   6.0555E+00  -7.9278E-02   8.0416E-01
 5.4697E-01  -1.3996E-03  -5.6046E-01   1.7317E+03   1.0067E+00  -1.6247E-03   1.0067E+00   2.7285E+02   5.3469E-09   2.1543E+02   5.9140E+00  -9.4129E-03   7.9469E-01
 5.4274E-01  -1.4211E-03  -5.5624E-01   1.7446E+03   9.8071E-01   1.1017E-02   9.8077E-01   2.7285E+02   5.0565E-09   2.1438E+02   5.7613E+00   6.4871E-02   7.8439E-01
 5.3815E-01  -1.5071E-03  -5.5164E-01   1.7538E+03   9.5463E-01   2.4393E-02   9.5494E-01   2.7286E+02   4.7875E-09   2.1341E+02   5.6080E+00   1.4344E-01   7.7399E-01
 5.3316E-01  -1.6757E-03  -5.4664E-01   1.7583E+03   9.2969E-01   3.8394E-02   9.3048E-01   2.7286E+02   4.5555E-09   2.1267E+02   5.4613E+00   2.2564E-01   7.6401E-01
 5.2774E-01  -1.9480E-03  -5.4122E-01   1.7547E+03   9.0749E-01   5.3130E-02   9.0904E-01   2.7286E+02   4.3828E-09   2.1227E+02   5.3308E+00   3.1217E-01   7.5515E-01
 5.2189E-01  -2.3457E-03  -5.3535E-01   1.7368E+03   8.9568E-01   6.8602E-02   8.9830E-01   2.7286E+02   4.3286E-09   2.1239E+02   5.2614E+00   4.0291E-01   7.5068E-01
 5.1556E-01  -2.8836E-03  -5.2901E-01   1.7068E+03   8.9996E-01   8.3680E-02   9.0385E-01   2.7286E+02   4.4265E-09   2.1326E+02   5.2866E+00   4.9135E-01   7.5299E-01
 5.0875E-01  -3.5655E-03  -5.2216E-01   1.6698E+03   9.1608E-01   9.7872E-02   9.2129E-01   2.7285E+02   4.6389E-09   2.1486E+02   5.3814E+00   5.7469E-01   7.6023E-01
 5.0143E-01  -4.3929E-03  -5.1480E-01   1.6276E+03   9.3967E-01   1.1173E-01   9.4629E-01   2.7285E+02   4.9256E-09   2.1692E+02   5.5201E+00   6.5605E-01   7.7047E-01
 4.9358E-01  -5.3692E-03  -5.0689E-01   1.5879E+03   9.6375E-01   1.2494E-01   9.7181E-01   2.7285E+02   5.2242E-09   2.1922E+02   5.6617E+00   7.3367E-01   7.8080E-01
 4.8519E-01  -6.5077E-03  -4.9842E-01   1.5496E+03   9.8024E-01   1.3864E-01   9.8999E-01   2.7284E+02   5.4821E-09   2.2172E+02   5.7586E+00   8.1414E-01   7.8807E-01
 4.7625E-01  -7.8375E-03  -4.8938E-01   1.5034E+03   9.8857E-01   1.5384E-01   1.0005E+00   2.7284E+02   5.7714E-09   2.2462E+02   5.8076E+00   9.0332E-01   7.9224E-01
 4.6675E-01  -9.3959E-03  -4.7975E-01   1.3958E+03   1.0328E+00   1.7796E-01   1.0481E+00   2.7283E+02   6.5711E-09   2.2869E+02   6.0682E+00   1.0442E+00   8.1088E-01
 4.5669E-01  -1.1156E-02  -4.6953E-01   1.2668E+03   1.1407E+00   2.0271E-01   1.1586E+00   2.7283E+02   8.0979E-09   2.3399E+02   6.7029E+00   1.1903E+00   8.5259E-01
 4.4604E-01  -1.3011E-02  -4.5873E-01   1.2481E+03   1.1960E+00   2.0484E-01   1.2134E+00   2.7282E+02   9.0545E-09   2.3939E+02   7.0278E+00   1.2033E+00   8.7255E-01
 4.3484E-01  -1.5007E-02  -4.4735E-01   1.1280E+03   1.2300E+00   2.2728E-01   1.2508E+00   2.7281E+02   1.0011E-08   2.4423E+02   7.2277E+00   1.3342E+00   8.8590E-01
