#        X=           Y=           S=           P=           U=           V=         Vel=           T=         mut=         hcv=          Ax=          Ay=       Yplus=
 5.7842E-01  -3.6898E-03  -5.9084E-01   1.4463E+03   2.7610E+01  -3.5935E+00   2.7843E+01   2.6762E+02   1.0667E-46   1.1117E+02   4.6943E+00  -7.1825E-01   4.2063E+01
 5.6670E-01  -2.2693E-03  -5.7903E-01   1.6645E+03   1.8655E+01  -1.1757E+00   1.8692E+01   2.6708E+02   5.2548E-04   1.9549E+02   5.1309E+00  -4.6336E-01   7.5292E+01
 5.5470E-01  -1.5244E-03  -5.6700E-01   1.7832E+03   1.7817E+01  -3.3055E-01   1.7820E+01   2.6731E+02   4.7135E-04   1.7225E+02   4.4922E+00  -1.5458E-01   6.7794E+01
 5.4246E-01  -1.4040E-03  -5.5476E-01   1.8103E+03   1.6344E+01   4.6419E-01   1.6351E+01   2.6733E+02   4.5488E-04   1.6669E+02   4.0019E+00   5.7392E-02   6.5391E+01
 5.3004E-01  -1.8406E-03  -5.4233E-01   1.7920E+03   1.5913E+01   1.0510E+00   1.5948E+01   2.6739E+02   4.5056E-04   1.6352E+02   3.8672E+00   2.1535E-01   6.4746E+01
 5.1747E-01  -2.7538E-03  -5.2972E-01   1.7386E+03   1.5898E+01   1.5384E+00   1.5973E+01   2.6744E+02   4.5568E-04   1.6366E+02   3.8998E+00   3.4882E-01   6.5433E+01
 5.0478E-01  -4.0545E-03  -5.1697E-01   1.6641E+03   1.6288E+01   1.9571E+00   1.6405E+01   2.6747E+02   4.6704E-04   1.6615E+02   4.0772E+00   4.7063E-01   6.7017E+01
 4.9199E-01  -5.6507E-03  -5.0407E-01   1.5849E+03   1.6879E+01   2.3234E+00   1.7038E+01   2.6746E+02   4.8146E-04   1.7051E+02   4.3330E+00   5.8092E-01   6.9045E+01
 4.7911E-01  -7.4750E-03  -4.9107E-01   1.5019E+03   1.7481E+01   2.6604E+00   1.7682E+01   2.6746E+02   4.9643E-04   1.7494E+02   4.6027E+00   6.8680E-01   7.1149E+01
 4.6617E-01  -9.4907E-03  -4.7797E-01   1.4121E+03   1.8119E+01   2.9813E+00   1.8362E+01   2.6746E+02   5.1228E-04   1.7944E+02   4.8963E+00   7.9450E-01   7.3376E+01
 4.5318E-01  -1.1668E-02  -4.6480E-01   1.3136E+03   1.8847E+01   3.2900E+00   1.9132E+01   2.6746E+02   5.2971E-04   1.8438E+02   5.2365E+00   9.0631E-01   7.5827E+01
 4.4017E-01  -1.3975E-02  -4.5159E-01   1.2027E+03   1.9718E+01   3.5872E+00   2.0041E+01   2.6746E+02   5.4921E-04   1.9002E+02   5.6453E+00   1.0248E+00   7.8574E+01
 4.2716E-01  -1.6373E-02  -4.3835E-01   1.0782E+03   2.0784E+01   3.8611E+00   2.1140E+01   2.6744E+02   5.7116E-04   1.9673E+02   6.1478E+00   1.1487E+00   8.1675E+01
 4.1414E-01  -1.8811E-02  -4.2511E-01   9.4483E+02   2.2051E+01   4.0857E+00   2.2427E+01   2.6741E+02   5.9522E-04   2.0473E+02   6.7512E+00   1.2688E+00   8.5084E+01
 4.0115E-01  -2.1231E-02  -4.1190E-01   8.0672E+02   2.3473E+01   4.2344E+00   2.3852E+01   2.6736E+02   6.2042E-04   2.1379E+02   7.4403E+00   1.3744E+00   8.8663E+01
 3.8820E-01  -2.3577E-02  -3.9873E-01   6.6900E+02   2.5003E+01   4.2810E+00   2.5366E+01   2.6729E+02   6.4575E-04   2.2364E+02   8.1960E+00   1.4529E+00   9.2269E+01
 3.7529E-01  -2.5790E-02  -3.8564E-01   5.4361E+02   2.6538E+01   4.1988E+00   2.6869E+01   2.6721E+02   6.6946E-04   2.3379E+02   8.9682E+00   1.4857E+00   9.5655E+01
 3.6245E-01  -2.7820E-02  -3.7263E-01   4.5028E+02   2.7912E+01   3.9813E+00   2.8195E+01   2.6712E+02   6.8933E-04   2.4332E+02   9.6703E+00   1.4538E+00   9.8503E+01
 3.4968E-01  -2.9636E-02  -3.5974E-01   3.8986E+02   2.8982E+01   3.6780E+00   2.9214E+01   2.6703E+02   7.0416E-04   2.5108E+02   1.0225E+01   1.3727E+00   1.0063E+02
 3.3703E-01  -3.1239E-02  -3.4699E-01   3.5373E+02   2.9791E+01   3.3381E+00   2.9977E+01   2.6696E+02   7.1504E-04   2.5723E+02   1.0649E+01   1.2677E+00   1.0220E+02
 3.2451E-01  -3.2640E-02  -3.3439E-01   3.3664E+02   3.0423E+01   2.9830E+00   3.0569E+01   2.6690E+02   7.2318E-04   2.6236E+02   1.0982E+01   1.1499E+00   1.0338E+02
 3.1214E-01  -3.3853E-02  -3.2196E-01   3.3490E+02   3.0923E+01   2.6250E+00   3.1034E+01   2.6684E+02   7.2923E-04   2.6675E+02   1.1242E+01   1.0259E+00   1.0426E+02
 2.9996E-01  -3.4889E-02  -3.0973E-01   3.4520E+02   3.1321E+01   2.2715E+00   3.1403E+01   2.6678E+02   7.3371E-04   2.7061E+02   1.1447E+01   9.0028E-01   1.0492E+02
 2.8796E-01  -3.5761E-02  -2.9771E-01   3.6454E+02   3.1646E+01   1.9258E+00   3.1705E+01   2.6672E+02   7.3701E-04   2.7411E+02   1.1611E+01   7.7590E-01   1.0541E+02
 2.7619E-01  -3.6483E-02  -2.8591E-01   3.9179E+02   3.1918E+01   1.5871E+00   3.1958E+01   2.6666E+02   7.3938E-04   2.7739E+02   1.1743E+01   6.5267E-01   1.0577E+02
 2.6464E-01  -3.7063E-02  -2.7435E-01   4.2630E+02   3.2142E+01   1.2561E+00   3.2166E+01   2.6660E+02   7.4089E-04   2.8049E+02   1.1847E+01   5.3098E-01   1.0601E+02
 2.5335E-01  -3.7512E-02  -2.6304E-01   4.6730E+02   3.2321E+01   9.3463E-01   3.2335E+01   2.6654E+02   7.4163E-04   2.8342E+02   1.1924E+01   4.1189E-01   1.0614E+02
 2.4231E-01  -3.7840E-02  -2.5200E-01   5.1402E+02   3.2460E+01   6.2394E-01   3.2466E+01   2.6648E+02   7.4168E-04   2.8623E+02   1.1977E+01   2.9628E-01   1.0617E+02
