#        X=           Y=           S=           P=           U=           V=         Vel=           T=         mut=         hcv=          Ax=          Ay=       Yplus=
-4.9959E-02   7.8385E-04  -1.5618E-01   6.8201E+01   1.8252E-02   1.0900E-01   1.1052E-01   2.7113E+02   2.0495E-06   8.6123E+01   9.7466E-04   3.7525E-02   6.5800E-01
-4.9877E-02   2.3515E-03  -1.5461E-01   6.7764E+01   2.6210E-02   3.1480E-01   3.1588E-01   2.7116E+02   2.1742E-06   8.4308E+01   5.6490E-03   1.0801E-01   1.1108E+00
-4.9795E-02   3.9192E-03  -1.5304E-01   6.6928E+01   3.9341E-02   5.4451E-01   5.4593E-01   2.7117E+02   2.2298E-06   8.4268E+01   1.3154E-02   1.8754E-01   1.4578E+00
-4.9658E-02   5.4812E-03  -1.5148E-01   6.5395E+01   9.2097E-02   7.0580E-01   7.1178E-01   2.7140E+02   1.9849E-08   7.4956E+01   2.7862E-02   2.4470E-01   1.6617E+00
-4.9440E-02   7.0346E-03  -1.4991E-01   6.3692E+01   1.3320E-01   8.0650E-01   8.1743E-01   2.7162E+02   4.4532E-09   6.5508E+01   4.1762E-02   2.7977E-01   1.7825E+00
-4.9194E-02   8.5852E-03  -1.4834E-01   6.1790E+01   1.6751E-01   1.0049E+00   1.0188E+00   2.7162E+02   4.1876E-09   6.5701E+01   5.8482E-02   3.4919E-01   1.9901E+00
-4.8922E-02   1.0130E-02  -1.4677E-01   5.8918E+01   2.4449E-01   1.2321E+00   1.2561E+00   2.7161E+02   6.0597E-09   6.6549E+01   8.7738E-02   4.3116E-01   2.2070E+00
-4.8569E-02   1.1658E-02  -1.4520E-01   5.5383E+01   3.4583E-01   1.2933E+00   1.3387E+00   2.7169E+02   7.9410E-09   6.2978E+01   1.1341E-01   4.5532E-01   2.2797E+00
-4.8163E-02   1.3175E-02  -1.4363E-01   5.2907E+01   3.9488E-01   1.4225E+00   1.4763E+00   2.7165E+02   1.0645E-08   6.4816E+01   1.3417E-01   5.0057E-01   2.3968E+00
-4.7756E-02   1.4691E-02  -1.4206E-01   4.9340E+01   4.9862E-01   1.7973E+00   1.8652E+00   2.7153E+02   1.4883E-08   7.0717E+01   1.8864E-01   6.3639E-01   2.6898E+00
-4.7272E-02   1.6183E-02  -1.4049E-01   4.2827E+01   6.6264E-01   1.7914E+00   1.9100E+00   2.7166E+02   1.5442E-08   6.4880E+01   2.2716E-01   6.4193E-01   2.7215E+00
-4.6709E-02   1.7649E-02  -1.3892E-01   4.0292E+01   6.9069E-01   1.7546E+00   1.8857E+00   2.7168E+02   1.8267E-08   6.3969E+01   2.3994E-01   6.2526E-01   2.7087E+00
-4.6146E-02   1.9115E-02  -1.3735E-01   3.6469E+01   8.1804E-01   2.0792E+00   2.2343E+00   2.7159E+02   2.3740E-08   6.8590E+01   3.0124E-01   7.4510E-01   2.9457E+00
-4.5533E-02   2.0559E-02  -1.3578E-01   2.8927E+01   9.9581E-01   2.1664E+00   2.3843E+00   2.7166E+02   2.6365E-08   6.5487E+01   3.5800E-01   7.8563E-01   3.0404E+00
-4.4845E-02   2.1970E-02  -1.3421E-01   2.4127E+01   1.0530E+00   2.0453E+00   2.3004E+00   2.7173E+02   2.9463E-08   6.2340E+01   3.6971E-01   7.4174E-01   2.9898E+00
-4.4132E-02   2.3370E-02  -1.3264E-01   2.0613E+01   1.1712E+00   2.2461E+00   2.5331E+00   2.7165E+02   3.6625E-08   6.6374E+01   4.2486E-01   8.1579E-01   3.1379E+00
-4.3395E-02   2.4756E-02  -1.3107E-01   1.3416E+01   1.3876E+00   2.4870E+00   2.8479E+00   2.7163E+02   4.2932E-08   6.7654E+01   5.1626E-01   9.1232E-01   3.3230E+00
-4.2587E-02   2.6100E-02  -1.2950E-01   5.1160E+00   1.5015E+00   2.3279E+00   2.7701E+00   2.7172E+02   4.3315E-08   6.3336E+01   5.3796E-01   8.6127E-01   3.2792E+00
-4.1732E-02   2.7416E-02  -1.2793E-01   2.5596E+00   1.5103E+00   2.2750E+00   2.7306E+00   2.7170E+02   4.9215E-08   6.4151E+01   5.4349E-01   8.3662E-01   3.2594E+00
