#        X=           Y=           S=           P=           U=           V=         Vel=           T=         mut=         hcv=          Ax=          Ay=       Yplus=
 4.9959E-02  -7.8385E-04  -1.5618E-01  -3.6619E+01  -4.4939E-03  -3.0499E-02   3.0828E-02   2.7164E+02   2.6813E-08   6.3992E+01  -5.5024E-04  -1.0501E-02   3.4542E-01
 4.9877E-02  -2.3515E-03  -1.5461E-01  -3.6690E+01  -6.9382E-03  -8.3769E-02   8.4056E-02   2.7169E+02   2.4951E-08   6.1952E+01  -1.5052E-03  -2.8725E-02   5.7176E-01
 4.9795E-02  -3.9192E-03  -1.5304E-01  -3.6820E+01  -1.1893E-02  -1.4750E-01   1.4798E-01   2.7169E+02   2.4655E-08   6.2061E+01  -2.6522E-03  -5.0614E-02   7.5849E-01
 4.9658E-02  -5.4812E-03  -1.5148E-01  -3.7083E+01  -2.2252E-02  -1.8353E-01   1.8488E-01   2.7189E+02   2.2547E-09   5.3514E+01  -7.7304E-03  -6.2961E-02   8.4752E-01
 4.9440E-02  -7.0346E-03  -1.4991E-01  -3.7338E+01  -3.3313E-02  -2.1015E-01   2.1278E-01   2.7192E+02   2.1665E-09   5.2009E+01  -1.1415E-02  -7.2080E-02   9.0952E-01
 4.9194E-02  -8.5852E-03  -1.4834E-01  -3.7601E+01  -4.2865E-02  -2.5221E-01   2.5582E-01   2.7191E+02   2.4063E-09   5.2407E+01  -1.3729E-02  -8.6691E-02   9.9726E-01
 4.8922E-02  -1.0130E-02  -1.4677E-01  -3.7993E+01  -6.1582E-02  -3.0346E-01   3.0964E-01   2.7193E+02   2.7192E-09   5.1992E+01  -2.0295E-02  -1.0443E-01   1.0968E+00
 4.8569E-02  -1.1658E-02  -1.4520E-01  -3.8449E+01  -7.3560E-02  -2.8984E-01   2.9903E-01   2.7208E+02   1.3075E-09   4.5520E+01  -2.6582E-02  -9.9216E-02   1.0778E+00
 4.8163E-02  -1.3175E-02  -1.4363E-01  -3.8679E+01  -7.5695E-02  -2.7795E-01   2.8807E-01   2.7213E+02   1.0346E-09   4.3279E+01  -2.5600E-02  -9.5553E-02   1.0580E+00
 4.7756E-02  -1.4691E-02  -1.4206E-01  -3.8998E+01  -1.0303E-01  -3.5034E-01   3.6518E-01   2.7208E+02   1.3159E-09   4.5281E+01  -3.2502E-02  -1.2131E-01   1.1905E+00
 4.7272E-02  -1.6183E-02  -1.4049E-01  -3.9666E+01  -1.0806E-01  -3.0836E-01   3.2675E-01   2.7224E+02   1.0832E-09   3.8508E+01  -4.0264E-02  -1.0489E-01   1.1258E+00
 4.6709E-02  -1.7649E-02  -1.3892E-01  -3.9689E+01  -9.9442E-02  -2.5375E-01   2.7254E-01   2.7226E+02   9.7683E-10   3.7662E+01  -3.3545E-02  -8.7389E-02   1.0289E+00
 4.6146E-02  -1.9115E-02  -1.3735E-01  -3.9868E+01  -1.1940E-01  -2.9725E-01   3.2034E-01   2.7224E+02   1.0735E-09   3.8612E+01  -3.9458E-02  -1.0280E-01   1.1152E+00
 4.5533E-02  -2.0559E-02  -1.3578E-01  -4.0323E+01  -1.2376E-01  -2.7690E-01   3.0330E-01   2.7233E+02   9.8692E-10   3.4705E+01  -4.4087E-02  -9.4534E-02   1.0848E+00
 4.4845E-02  -2.1970E-02  -1.3421E-01  -4.0391E+01  -1.0393E-01  -2.0638E-01   2.3107E-01   2.7240E+02   8.0012E-10   3.2006E+01  -3.6037E-02  -7.0721E-02   9.4715E-01
 4.4132E-02  -2.3370E-02  -1.3264E-01  -4.0347E+01  -1.0161E-01  -1.9525E-01   2.2010E-01   2.7240E+02   7.2458E-10   3.1892E+01  -3.4323E-02  -6.7357E-02   9.2439E-01
 4.3395E-02  -2.4756E-02  -1.3107E-01  -4.0486E+01  -1.1217E-01  -2.0238E-01   2.3139E-01   2.7243E+02   6.8934E-10   3.0567E+01  -3.8568E-02  -6.9576E-02   9.4741E-01
 4.2587E-02  -2.6100E-02  -1.2950E-01  -4.0605E+01  -8.7208E-02  -1.4111E-01   1.6588E-01   2.7253E+02   4.9245E-10   2.6268E+01  -3.1032E-02  -4.7779E-02   8.0215E-01
 4.1732E-02  -2.7416E-02  -1.2793E-01  -4.0414E+01  -5.7628E-02  -8.8109E-02   1.0528E-01   2.7256E+02   3.3519E-10   2.5102E+01  -1.9685E-02  -3.0309E-02   6.3923E-01
 4.0877E-02  -2.8733E-02  -1.2636E-01  -4.0311E+01  -8.0740E-02  -1.1860E-01   1.4347E-01   2.7254E+02   3.5219E-10   2.6092E+01  -2.6853E-02  -4.1344E-02   7.4576E-01
 3.9955E-02  -3.0002E-02  -1.2479E-01  -4.0461E+01  -6.0491E-02  -8.2702E-02   1.0246E-01   2.7265E+02   2.3141E-10   2.1204E+01  -2.2139E-02  -2.7335E-02   6.2982E-01
 3.8966E-02  -3.1223E-02  -1.2322E-01  -4.0225E+01  -2.1748E-02  -2.5897E-02   3.3818E-02   2.7268E+02   1.2117E-10   1.9984E+01  -7.3054E-03  -9.0198E-03   3.6220E-01
 3.7977E-02  -3.2444E-02  -1.2165E-01  -4.0101E+01  -3.7716E-02  -4.4790E-02   5.8554E-02   2.7266E+02   1.1973E-10   2.0833E+01  -1.2654E-02  -1.5624E-02   4.7651E-01
 3.6948E-02  -3.3628E-02  -1.2008E-01  -4.0108E+01  -3.8190E-02  -4.3036E-02   5.7538E-02   2.7270E+02   1.0087E-10   1.9028E+01  -1.3482E-02  -1.4454E-02   4.7218E-01
 3.5857E-02  -3.4757E-02  -1.1851E-01  -4.0011E+01  -1.9297E-02  -1.9378E-02   2.7348E-02   2.7273E+02   6.3978E-11   1.7813E+01  -6.6410E-03  -6.6391E-03   3.2569E-01
 3.4746E-02  -3.5867E-02  -1.1693E-01  -3.9911E+01  -2.4083E-02  -2.3044E-02   3.3332E-02   2.7271E+02   6.0962E-11   1.8832E+01  -8.0918E-03  -8.0895E-03   3.5953E-01
 3.3617E-02  -3.6957E-02  -1.1537E-01  -3.9882E+01  -4.3640E-02  -3.9732E-02   5.9018E-02   2.7269E+02   7.8088E-11   1.9650E+01  -1.4832E-02  -1.3828E-02   4.7828E-01
 3.2434E-02  -3.7986E-02  -1.1380E-01  -3.9896E+01  -4.4689E-02  -3.6798E-02   5.7890E-02   2.7271E+02   7.5478E-11   1.8579E+01  -1.5454E-02  -1.2511E-02   4.7379E-01
 3.1214E-02  -3.8973E-02  -1.1223E-01  -3.9848E+01  -4.4008E-02  -3.4652E-02   5.6013E-02   2.7270E+02   7.5685E-11   1.9261E+01  -1.4945E-02  -1.2099E-02   4.6614E-01
 2.9994E-02  -3.9961E-02  -1.1066E-01  -3.9848E+01  -8.5322E-02  -6.5288E-02   1.0744E-01   2.7264E+02   1.2359E-10   2.1736E+01  -2.8691E-02  -2.3226E-02   6.4520E-01
 2.8726E-02  -4.0882E-02  -1.0909E-01  -4.0024E+01  -9.7981E-02  -6.5809E-02   1.1803E-01   2.7266E+02   1.4314E-10   2.0680E+01  -3.4027E-02  -2.2092E-02   6.7633E-01
 2.7409E-02  -4.1737E-02  -1.0752E-01  -4.0014E+01  -9.4315E-02  -5.9912E-02   1.1174E-01   2.7265E+02   1.6050E-10   2.1382E+01  -3.2178E-02  -2.0891E-02   6.5843E-01
 2.6093E-02  -4.2592E-02  -1.0595E-01  -4.0100E+01  -1.3991E-01  -8.7341E-02   1.6494E-01   2.7259E+02   2.3956E-10   2.3747E+01  -4.7525E-02  -3.0855E-02   7.9983E-01
 2.4749E-02  -4.3399E-02  -1.0438E-01  -4.0361E+01  -1.6850E-01  -9.4047E-02   1.9297E-01   2.7258E+02   3.1845E-10   2.4160E+01  -5.8032E-02  -3.2159E-02   8.6500E-01
 2.3364E-02  -4.4135E-02  -1.0281E-01  -4.0500E+01  -1.6876E-01  -8.5546E-02   1.8920E-01   2.7257E+02   3.7355E-10   2.4733E+01  -5.7918E-02  -2.9504E-02   8.5685E-01
 2.1965E-02  -4.4848E-02  -1.0124E-01  -4.0634E+01  -2.0116E-01  -9.9631E-02   2.2448E-01   2.7251E+02   4.9201E-10   2.6995E+01  -6.8724E-02  -3.5009E-02   9.3336E-01
 2.0555E-02  -4.5535E-02  -9.9672E-02  -4.0951E+01  -2.5494E-01  -1.1612E-01   2.8014E-01   2.7246E+02   7.3729E-10   2.9287E+01  -8.7337E-02  -4.0719E-02   1.0424E+00
 1.9112E-02  -4.6148E-02  -9.8103E-02  -4.1333E+01  -2.6971E-01  -1.0404E-01   2.8908E-01   2.7243E+02   9.9477E-10   3.0669E+01  -9.2796E-02  -3.5614E-02   1.0592E+00
 1.7647E-02  -4.6710E-02  -9.6534E-02  -4.1557E+01  -3.1611E-01  -1.1803E-01   3.3743E-01   2.7233E+02   1.5491E-09   3.4915E+01  -1.0830E-01  -4.1563E-02   1.1447E+00
 1.6181E-02  -4.7272E-02  -9.4964E-02  -4.2153E+01  -3.8770E-01  -1.4369E-01   4.1347E-01   2.7225E+02   3.7108E-09   3.8094E+01  -1.3294E-01  -5.1019E-02   1.2666E+00
 1.4690E-02  -4.7757E-02  -9.3394E-02  -4.2838E+01  -4.8615E-01  -1.2703E-01   5.0247E-01   2.7220E+02   5.2923E-09   4.0359E+01  -1.6734E-01  -4.4830E-02   1.3965E+00
 1.3174E-02  -4.8163E-02  -9.1824E-02  -4.4095E+01  -5.5749E-01  -1.4856E-01   5.7694E-01   2.7230E+02   4.9076E-09   3.6205E+01  -1.9222E-01  -5.1496E-02   1.4970E+00
 1.1658E-02  -4.8569E-02  -9.0255E-02  -4.5447E+01  -6.1378E-01  -1.5695E-01   6.3352E-01   2.7227E+02   3.0348E-08   3.7641E+01  -2.1132E-01  -5.6612E-02   1.5683E+00
 1.0130E-02  -4.8922E-02  -8.8686E-02  -4.7325E+01  -6.8326E-01  -1.2656E-01   6.9488E-01   2.7231E+02   1.4667E-08   3.5846E+01  -2.3595E-01  -4.5852E-02   1.6421E+00
 8.5850E-03  -4.9194E-02  -8.7117E-02  -5.0735E+01  -8.2479E-01  -1.2943E-01   8.3489E-01   2.7220E+02   2.8464E-08   4.0540E+01  -2.8569E-01  -4.5242E-02   1.8009E+00
 7.0345E-03  -4.9440E-02  -8.5547E-02  -5.5556E+01  -7.9415E-01  -1.2636E-01   8.0414E-01   2.7225E+02   3.1096E-08   3.8533E+01  -2.7504E-01  -4.3556E-02   1.7673E+00
 5.4812E-03  -4.9658E-02  -8.3978E-02  -6.0419E+01  -3.2003E-01  -4.5498E-02   3.2325E-01   2.7225E+02   6.1666E-09   3.8241E+01  -1.1033E-01  -1.3547E-02   1.1200E+00
 3.9192E-03  -4.9795E-02  -8.2409E-02  -6.4229E+01  -1.5552E-01   1.2074E-02   1.5599E-01   2.7185E+02   1.1348E-08   5.4950E+01  -5.2955E-02  -2.7748E-03   7.7543E-01
 2.3515E-03  -4.9877E-02  -8.0840E-02  -7.3791E+01  -6.3082E-01  -1.4939E-02   6.3100E-01   2.7209E+02   1.1423E-08   4.4979E+01  -2.1732E-01  -1.1387E-02   1.5657E+00
 7.8384E-04  -4.9959E-02  -7.9270E-02  -8.4549E+01   6.3434E-01  -2.0044E-02   6.3466E-01   2.7220E+02   2.6830E-08   4.0458E+01   2.1820E-01   1.1433E-02   1.5667E+00
-7.8384E-04  -4.9959E-02  -7.7700E-02  -8.1738E+01   1.6154E+00  -3.0287E-02   1.6157E+00   2.7159E+02   6.2164E-08   6.7621E+01   5.6867E-01  -2.9798E-02   2.5056E+00
-2.3515E-03  -4.9877E-02  -7.6130E-02  -9.0269E+01   6.7691E-01  -1.5738E-02   6.7709E-01   2.7185E+02   4.6478E-08   5.5438E+01   2.3321E-01  -1.2220E-02   1.6224E+00
-3.9192E-03  -4.9795E-02  -7.4560E-02  -1.0067E+02   1.4671E+00  -1.0524E-01   1.4709E+00   2.7200E+02   6.7755E-08   4.9391E+01   5.1619E-01  -2.7048E-02   2.3905E+00
-5.4812E-03  -4.9658E-02  -7.2991E-02  -9.9403E+01   2.4367E+00  -2.7834E-01   2.4525E+00   2.7167E+02   1.0677E-07   6.5029E+01   8.8125E-01  -1.0820E-01   3.0878E+00
-7.0345E-03  -4.9440E-02  -7.1422E-02  -1.0011E+02   2.0671E+00  -2.8858E-01   2.0871E+00   2.7166E+02   1.0223E-07   6.5015E+01   7.3667E-01  -1.1666E-01   2.8494E+00
-8.5850E-03  -4.9194E-02  -6.9853E-02  -1.0833E+02   1.9757E+00  -3.0661E-01   1.9994E+00   2.7187E+02   1.0003E-07   5.5625E+01   7.0429E-01  -1.1153E-01   2.7882E+00
-1.0130E-02  -4.8922E-02  -6.8284E-02  -1.1143E+02   2.8712E+00  -5.8639E-01   2.9305E+00   2.7178E+02   1.2799E-07   6.1107E+01   1.0599E+00  -2.0597E-01   3.3747E+00
-1.1658E-02  -4.8569E-02  -6.6715E-02  -1.0325E+02   3.0010E+00  -7.3675E-01   3.0901E+00   2.7153E+02   1.4531E-07   7.2281E+01   1.1051E+00  -2.9607E-01   3.4672E+00
-1.3174E-02  -4.8163E-02  -6.5145E-02  -1.0823E+02   2.1973E+00  -5.5230E-01   2.2657E+00   2.7178E+02   1.1852E-07   6.0191E+01   7.8680E-01  -2.1078E-01   2.9686E+00
-1.4690E-02  -4.7757E-02  -6.3575E-02  -1.1802E+02   2.9911E+00  -8.8111E-01   3.1182E+00   2.7190E+02   1.3039E-07   5.6005E+01   1.1179E+00  -2.9950E-01   3.4798E+00
-1.6181E-02  -4.7272E-02  -6.2006E-02  -1.0242E+02   3.7552E+00  -1.3406E+00   3.9873E+00   2.7147E+02   1.7788E-07   7.6960E+01   1.4307E+00  -5.4908E-01   3.9375E+00
-1.7647E-02  -4.6710E-02  -6.0436E-02  -1.0287E+02   2.6110E+00  -9.5817E-01   2.7812E+00   2.7173E+02   1.3372E-07   6.2784E+01   9.5043E-01  -3.6476E-01   3.2892E+00
-1.9112E-02  -4.6148E-02  -5.8866E-02  -1.0884E+02   2.9166E+00  -1.1449E+00   3.1332E+00   2.7189E+02   1.3266E-07   5.6497E+01   1.0861E+00  -4.1682E-01   3.4898E+00
-2.0555E-02  -4.5535E-02  -5.7297E-02  -1.0006E+02   3.5613E+00  -1.6181E+00   3.9116E+00   2.7164E+02   1.6183E-07   6.9244E+01   1.3588E+00  -6.3352E-01   3.8997E+00
-2.1965E-02  -4.4848E-02  -5.5729E-02  -9.3193E+01   3.0304E+00  -1.4822E+00   3.3734E+00   2.7166E+02   1.4601E-07   6.7155E+01   1.1257E+00  -5.7346E-01   3.6226E+00
-2.3364E-02  -4.4135E-02  -5.4159E-02  -9.5765E+01   2.7569E+00  -1.3891E+00   3.0871E+00   2.7185E+02   1.2816E-07   5.7924E+01   1.0192E+00  -5.1917E-01   3.4647E+00
-2.4749E-02  -4.3399E-02  -5.2590E-02  -9.3358E+01   3.2807E+00  -1.8428E+00   3.7628E+00   2.7177E+02   1.3920E-07   6.2890E+01   1.2540E+00  -6.9489E-01   3.8242E+00
-2.6093E-02  -4.2592E-02  -5.1022E-02  -7.9726E+01   3.2304E+00  -2.0087E+00   3.8040E+00   2.7157E+02   1.4744E-07   7.1946E+01   1.2164E+00  -7.8974E-01   3.8467E+00
-2.7409E-02  -4.1737E-02  -4.9452E-02  -7.9119E+01   2.5131E+00  -1.5876E+00   2.9726E+00   2.7180E+02   1.1806E-07   6.0348E+01   9.1936E-01  -5.9689E-01   3.4003E+00
-2.8726E-02  -4.0882E-02  -4.7882E-02  -8.3226E+01   2.9281E+00  -1.9877E+00   3.5390E+00   2.7189E+02   1.1441E-07   5.7229E+01   1.1206E+00  -7.2753E-01   3.7074E+00
-2.9994E-02  -3.9961E-02  -4.6313E-02  -6.5250E+01   3.3481E+00  -2.5854E+00   4.2301E+00   2.7151E+02   1.4308E-07   7.5743E+01   1.2770E+00  -1.0338E+00   4.0554E+00
-3.1214E-02  -3.8973E-02  -4.4743E-02  -6.0933E+01   2.4554E+00  -1.9386E+00   3.1284E+00   2.7175E+02   1.0824E-07   6.2467E+01   9.0194E-01  -7.3015E-01   3.4885E+00
-3.2434E-02  -3.7986E-02  -4.3174E-02  -6.1674E+01   2.5481E+00  -2.0923E+00   3.2970E+00   2.7187E+02   9.9385E-08   5.7398E+01   9.5760E-01  -7.7521E-01   3.5800E+00
