#        X=           Y=           S=           P=           U=           V=         Vel=           T=         mut=         hcv=          Ax=          Ay=       Yplus=
 1.6582E-01   2.1160E-04  -1.6700E-01   7.3606E+02   1.3826E+00  -1.6603E-01   1.3925E+00   2.7301E+02   3.8684E-11   1.8912E+02   1.3553E+01  -1.6275E+00   4.3405E-01
 1.6242E-01   6.2143E-04  -1.6358E-01   7.0041E+02   1.0920E+00  -1.2610E-01   1.0992E+00   2.7300E+02   2.7539E-11   2.0794E+02   1.1184E+01  -1.2914E+00   3.7727E-01
 1.5896E-01   1.0054E-03  -1.6009E-01   7.4221E+02   1.1259E+00  -1.1954E-01   1.1322E+00   2.7301E+02   2.5553E-11   2.0345E+02   1.1531E+01  -1.2243E+00   3.8289E-01
 1.5543E-01   1.3672E-03  -1.5654E-01   7.5454E+02   1.1036E+00  -1.0907E-01   1.1089E+00   2.7301E+02   2.4722E-11   2.0412E+02   1.1302E+01  -1.1171E+00   3.7894E-01
 1.5184E-01   1.7137E-03  -1.5294E-01   7.7354E+02   1.1063E+00  -1.0435E-01   1.1112E+00   2.7301E+02   2.4747E-11   2.0358E+02   1.1331E+01  -1.0687E+00   3.7933E-01
 1.4820E-01   2.0519E-03  -1.4928E-01   8.0337E+02   1.0994E+00  -1.0061E-01   1.1040E+00   2.7301E+02   2.4333E-11   2.0318E+02   1.1260E+01  -1.0304E+00   3.7809E-01
 1.4451E-01   2.3821E-03  -1.4558E-01   8.3921E+02   1.0833E+00  -9.4901E-02   1.0874E+00   2.7301E+02   2.3568E-11   2.0231E+02   1.1095E+01  -9.7194E-01   3.7524E-01
 1.4079E-01   2.6984E-03  -1.4184E-01   8.7648E+02   1.0615E+00  -8.7242E-02   1.0651E+00   2.7301E+02   2.2613E-11   2.0129E+02   1.0872E+01  -8.9351E-01   3.7137E-01
 1.3703E-01   2.9944E-03  -1.3807E-01   9.1220E+02   1.0369E+00  -7.8000E-02   1.0398E+00   2.7301E+02   2.1599E-11   2.0029E+02   1.0619E+01  -7.9886E-01   3.6693E-01
 1.3324E-01   3.2634E-03  -1.3427E-01   9.4160E+02   1.0131E+00  -6.7665E-02   1.0154E+00   2.7301E+02   2.0672E-11   1.9948E+02   1.0376E+01  -6.9301E-01   3.6259E-01
 1.2943E-01   3.5006E-03  -1.3045E-01   9.6429E+02   9.9365E-01  -5.7349E-02   9.9531E-01   2.7301E+02   1.9932E-11   1.9893E+02   1.0177E+01  -5.8736E-01   3.5899E-01
 1.2560E-01   3.7036E-03  -1.2662E-01   9.8180E+02   9.7809E-01  -4.7451E-02   9.7924E-01   2.7301E+02   1.9352E-11   1.9865E+02   1.0017E+01  -4.8599E-01   3.5608E-01
 1.2177E-01   3.8716E-03  -1.2279E-01   9.9465E+02   9.6533E-01  -3.7848E-02   9.6607E-01   2.7301E+02   1.8891E-11   1.9862E+02   9.8867E+00  -3.8763E-01   3.5368E-01
 1.1794E-01   4.0038E-03  -1.1896E-01   1.0025E+03   9.5533E-01  -2.8480E-02   9.5576E-01   2.7301E+02   1.8548E-11   1.9885E+02   9.7844E+00  -2.9169E-01   3.5179E-01
 1.1412E-01   4.0999E-03  -1.1514E-01   1.0052E+03   9.4879E-01  -1.9453E-02   9.4899E-01   2.7301E+02   1.8339E-11   1.9933E+02   9.7173E+00  -1.9924E-01   3.5054E-01
 1.1032E-01   4.1609E-03  -1.1133E-01   1.0038E+03   9.4562E-01  -1.0926E-02   9.4568E-01   2.7301E+02   1.8254E-11   2.0007E+02   9.6848E+00  -1.1190E-01   3.4993E-01
 1.0654E-01   4.1885E-03  -1.0755E-01   9.9888E+02   9.4511E-01  -2.8310E-03   9.4511E-01   2.7301E+02   1.8269E-11   2.0101E+02   9.6796E+00  -2.8994E-02   3.4983E-01
 1.0279E-01   4.1844E-03  -1.0380E-01   9.9094E+02   9.4685E-01   4.8915E-03   9.4687E-01   2.7301E+02   1.8367E-11   2.0214E+02   9.6974E+00   5.0097E-02   3.5015E-01
 9.9078E-02   4.1509E-03  -1.0009E-01   9.8045E+02   9.5047E-01   1.2291E-02   9.5054E-01   2.7301E+02   1.8536E-11   2.0344E+02   9.7344E+00   1.2588E-01   3.5083E-01
 9.5409E-02   4.0900E-03  -9.6419E-02   9.6767E+02   9.5565E-01   1.9424E-02   9.5585E-01   2.7300E+02   1.8766E-11   2.0489E+02   9.7874E+00   1.9893E-01   3.5181E-01
 9.1791E-02   4.0038E-03  -9.2799E-02   9.5278E+02   9.6225E-01   2.6324E-02   9.6261E-01   2.7300E+02   1.9054E-11   2.0648E+02   9.8550E+00   2.6961E-01   3.5305E-01
 8.8228E-02   3.8945E-03  -8.9235E-02   9.3600E+02   9.7018E-01   3.3012E-02   9.7074E-01   2.7300E+02   1.9394E-11   2.0820E+02   9.9362E+00   3.3810E-01   3.5454E-01
 8.4726E-02   3.7644E-03  -8.5731E-02   9.1767E+02   9.7922E-01   3.9500E-02   9.8001E-01   2.7300E+02   1.9779E-11   2.1003E+02   1.0029E+01   4.0455E-01   3.5623E-01
 8.1290E-02   3.6156E-03  -8.2292E-02   8.9814E+02   9.8886E-01   4.5833E-02   9.8992E-01   2.7300E+02   2.0195E-11   2.1197E+02   1.0127E+01   4.6940E-01   3.5803E-01
 7.7925E-02   3.4499E-03  -7.8923E-02   8.7710E+02   9.9899E-01   5.2117E-02   1.0004E+00   2.7300E+02   2.0640E-11   2.1401E+02   1.0231E+01   5.3375E-01   3.5991E-01
 7.4635E-02   3.2691E-03  -7.5627E-02   8.5432E+02   1.0099E+00   5.8381E-02   1.0115E+00   2.7300E+02   2.1125E-11   2.1618E+02   1.0342E+01   5.9790E-01   3.6192E-01
 7.1423E-02   3.0747E-03  -7.2410E-02   8.2962E+02   1.0215E+00   6.4635E-02   1.0236E+00   2.7299E+02   2.1659E-11   2.1851E+02   1.0462E+01   6.6195E-01   3.6407E-01
 6.8292E-02   2.8685E-03  -6.9272E-02   8.0228E+02   1.0344E+00   7.0907E-02   1.0368E+00   2.7299E+02   2.2262E-11   2.2103E+02   1.0593E+01   7.2618E-01   3.6641E-01
 6.5246E-02   2.6522E-03  -6.6218E-02   7.7115E+02   1.0499E+00   7.7191E-02   1.0527E+00   2.7299E+02   2.2990E-11   2.2377E+02   1.0752E+01   7.9053E-01   3.6922E-01
 6.2285E-02   2.4282E-03  -6.3249E-02   7.3748E+02   1.0688E+00   8.3168E-02   1.0720E+00   2.7299E+02   2.3862E-11   2.2672E+02   1.0946E+01   8.5174E-01   3.7258E-01
 5.9412E-02   2.1996E-03  -6.0367E-02   7.0220E+02   1.0901E+00   8.8732E-02   1.0937E+00   2.7299E+02   2.4845E-11   2.2982E+02   1.1163E+01   9.0872E-01   3.7633E-01
 5.6629E-02   1.9690E-03  -5.7574E-02   6.6597E+02   1.1131E+00   9.3863E-02   1.1170E+00   2.7298E+02   2.5917E-11   2.3302E+02   1.1399E+01   9.6125E-01   3.8032E-01
 5.3935E-02   1.7387E-03  -5.4870E-02   6.2930E+02   1.1374E+00   9.8551E-02   1.1417E+00   2.7298E+02   2.7063E-11   2.3629E+02   1.1648E+01   1.0093E+00   3.8450E-01
 5.1331E-02   1.5109E-03  -5.2257E-02   5.9278E+02   1.1626E+00   1.0278E-01   1.1671E+00   2.7298E+02   2.8264E-11   2.3960E+02   1.1906E+01   1.0526E+00   3.8877E-01
 4.8818E-02   1.2871E-03  -4.9733E-02   5.5710E+02   1.1879E+00   1.0655E-01   1.1926E+00   2.7298E+02   2.9489E-11   2.4291E+02   1.2165E+01   1.0911E+00   3.9299E-01
 4.6395E-02   1.0685E-03  -4.7301E-02   5.2204E+02   1.2127E+00   1.0997E-01   1.2177E+00   2.7298E+02   3.0721E-11   2.4620E+02   1.2419E+01   1.1262E+00   3.9710E-01
 4.4062E-02   8.5606E-04  -4.4958E-02   4.8739E+02   1.2373E+00   1.1312E-01   1.2424E+00   2.7297E+02   3.1968E-11   2.4949E+02   1.2670E+01   1.1584E+00   4.0111E-01
 4.1817E-02   6.5026E-04  -4.2704E-02   4.5306E+02   1.2616E+00   1.1600E-01   1.2670E+00   2.7297E+02   3.3232E-11   2.5277E+02   1.2920E+01   1.1879E+00   4.0505E-01
 3.9660E-02   4.5161E-04  -4.0538E-02   4.1893E+02   1.2858E+00   1.1863E-01   1.2913E+00   2.7297E+02   3.4516E-11   2.5605E+02   1.3168E+01   1.2148E+00   4.0893E-01
 3.7590E-02   2.6046E-04  -3.8458E-02   3.8489E+02   1.3099E+00   1.2102E-01   1.3155E+00   2.7297E+02   3.5818E-11   2.5933E+02   1.3414E+01   1.2394E+00   4.1274E-01
 3.5605E-02   7.7038E-05  -3.6465E-02   3.5084E+02   1.3338E+00   1.2320E-01   1.3395E+00   2.7296E+02   3.7139E-11   2.6261E+02   1.3659E+01   1.2616E+00   4.1649E-01
 3.3703E-02  -9.8506E-05  -3.4555E-02   3.1667E+02   1.3574E+00   1.2516E-01   1.3632E+00   2.7296E+02   3.8475E-11   2.6590E+02   1.3901E+01   1.2817E+00   4.2016E-01
 3.1882E-02  -2.6614E-04  -3.2726E-02   2.8219E+02   1.3806E+00   1.2694E-01   1.3865E+00   2.7296E+02   3.9822E-11   2.6921E+02   1.4138E+01   1.2999E+00   4.2374E-01
 3.0141E-02  -4.2594E-04  -3.0978E-02   2.4693E+02   1.4035E+00   1.2859E-01   1.4093E+00   2.7296E+02   4.1186E-11   2.7256E+02   1.4372E+01   1.3168E+00   4.2722E-01
 2.8478E-02  -5.7805E-04  -2.9308E-02   2.1048E+02   1.4260E+00   1.3014E-01   1.4319E+00   2.7295E+02   4.2576E-11   2.7597E+02   1.4602E+01   1.3326E+00   4.3062E-01
 2.6890E-02  -7.2265E-04  -2.7714E-02   1.7218E+02   1.4475E+00   1.3152E-01   1.4534E+00   2.7295E+02   4.3995E-11   2.7950E+02   1.4822E+01   1.3468E+00   4.3385E-01
 2.5376E-02  -8.5995E-04  -2.6193E-02   1.2919E+02   1.4698E+00   1.3290E-01   1.4758E+00   2.7295E+02   4.5567E-11   2.8317E+02   1.5051E+01   1.3609E+00   4.3718E-01
 2.3932E-02  -9.8983E-04  -2.4744E-02   8.0085E+01   1.4988E+00   1.3411E-01   1.5048E+00   2.7295E+02   4.7538E-11   2.8701E+02   1.5348E+01   1.3733E+00   4.4145E-01
 2.2557E-02  -1.1115E-03  -2.3363E-02   2.8650E+01   1.5355E+00   1.3420E-01   1.5413E+00   2.7294E+02   4.9926E-11   2.9104E+02   1.5723E+01   1.3742E+00   4.4678E-01
 2.1248E-02  -1.2240E-03  -2.2049E-02  -2.3076E+01   1.5763E+00   1.3288E-01   1.5819E+00   2.7294E+02   5.2567E-11   2.9515E+02   1.6141E+01   1.3607E+00   4.5262E-01
