#        X=           Y=           S=           P=           U=           V=         Vel=           T=         mut=         hcv=          Ax=          Ay=       Yplus=
 5.3205E-01  -3.0759E-04  -5.4209E-01   7.9344E+02   5.4137E-01   1.3507E-01   5.5796E-01   2.7297E+02   6.7813E-15   1.5822E+02   3.4867E+00   8.6995E-01   3.3843E-01
 5.2925E-01  -9.3741E-04  -5.3922E-01   8.0223E+02   6.3361E-01   1.4088E-01   6.4908E-01   2.7300E+02   4.1501E-15   1.3494E+02   4.0753E+00   9.0610E-01   3.6583E-01
 5.2625E-01  -1.5964E-03  -5.3614E-01   6.5866E+02   6.5956E-01   1.4258E-01   6.7479E-01   2.7299E+02   5.0989E-15   1.3807E+02   4.2424E+00   9.1708E-01   3.7300E-01
 5.2302E-01  -2.2841E-03  -5.3284E-01   5.9081E+02   8.0913E-01   1.6995E-01   8.2678E-01   2.7299E+02   6.0563E-15   1.4108E+02   5.2044E+00   1.0931E+00   4.1287E-01
 5.1956E-01  -3.0001E-03  -5.2930E-01   5.0369E+02   8.9613E-01   1.8255E-01   9.1453E-01   2.7299E+02   7.1879E-15   1.4491E+02   5.7639E+00   1.1741E+00   4.3423E-01
 5.1585E-01  -3.7436E-03  -5.2552E-01   4.2861E+02   9.9098E-01   1.9548E-01   1.0101E+00   2.7298E+02   8.2768E-15   1.4788E+02   6.3739E+00   1.2573E+00   4.5636E-01
 5.1188E-01  -4.5136E-03  -5.2148E-01   3.5780E+02   1.0732E+00   2.0470E-01   1.0925E+00   2.7298E+02   9.3724E-15   1.5068E+02   6.9026E+00   1.3166E+00   4.7462E-01
 5.0763E-01  -5.3092E-03  -5.1716E-01   2.9402E+02   1.1476E+00   2.1138E-01   1.1669E+00   2.7298E+02   1.0410E-14   1.5308E+02   7.3811E+00   1.3596E+00   4.9051E-01
 5.0310E-01  -6.1295E-03  -5.1255E-01   2.3761E+02   1.2123E+00   2.1556E-01   1.2313E+00   2.7297E+02   1.1378E-14   1.5520E+02   7.7972E+00   1.3864E+00   5.0387E-01
 4.9826E-01  -6.9746E-03  -5.0764E-01   1.8803E+02   1.2671E+00   2.1781E-01   1.2857E+00   2.7297E+02   1.2248E-14   1.5702E+02   8.1498E+00   1.4009E+00   5.1488E-01
 4.9311E-01  -7.8457E-03  -5.0242E-01   1.4466E+02   1.3132E+00   2.1880E-01   1.3314E+00   2.7297E+02   1.3041E-14   1.5863E+02   8.4464E+00   1.4072E+00   5.2394E-01
 4.8764E-01  -8.7452E-03  -4.9687E-01   1.0657E+02   1.3508E+00   2.1901E-01   1.3685E+00   2.7297E+02   1.3776E-14   1.6009E+02   8.6879E+00   1.4086E+00   5.3119E-01
 4.8183E-01  -9.6767E-03  -4.9099E-01   7.0285E+01   1.3812E+00   2.1913E-01   1.3984E+00   2.7297E+02   1.4492E-14   1.6141E+02   8.8831E+00   1.4094E+00   5.3698E-01
 4.7567E-01  -1.0644E-02  -4.8476E-01   3.0579E+01   1.4103E+00   2.1991E-01   1.4273E+00   2.7297E+02   1.5234E-14   1.6267E+02   9.0703E+00   1.4144E+00   5.4250E-01
 4.6917E-01  -1.1650E-02  -4.7817E-01  -1.0406E+01   1.4419E+00   2.2072E-01   1.4587E+00   2.7296E+02   1.6030E-14   1.6395E+02   9.2738E+00   1.4196E+00   5.4844E-01
 4.6230E-01  -1.2690E-02  -4.7123E-01  -5.2260E+01   1.4751E+00   2.2115E-01   1.4916E+00   2.7296E+02   1.6883E-14   1.6528E+02   9.4873E+00   1.4223E+00   5.5459E-01
 4.5506E-01  -1.3762E-02  -4.6391E-01  -9.4434E+01   1.5095E+00   2.2106E-01   1.5256E+00   2.7296E+02   1.7786E-14   1.6664E+02   9.7080E+00   1.4217E+00   5.6086E-01
 4.4746E-01  -1.4861E-02  -4.5623E-01  -1.3658E+02   1.5445E+00   2.2032E-01   1.5602E+00   2.7296E+02   1.8735E-14   1.6803E+02   9.9335E+00   1.4170E+00   5.6719E-01
 4.3948E-01  -1.5982E-02  -4.4817E-01  -1.7835E+02   1.5802E+00   2.1882E-01   1.5953E+00   2.7296E+02   1.9722E-14   1.6943E+02   1.0163E+01   1.4073E+00   5.7353E-01
 4.3113E-01  -1.7119E-02  -4.3974E-01  -2.1915E+02   1.6162E+00   2.1644E-01   1.6306E+00   2.7296E+02   2.0739E-14   1.7084E+02   1.0394E+01   1.3920E+00   5.7986E-01
 4.2240E-01  -1.8265E-02  -4.3094E-01  -2.5796E+02   1.6520E+00   2.1308E-01   1.6656E+00   2.7296E+02   2.1774E-14   1.7225E+02   1.0624E+01   1.3704E+00   5.8605E-01
 4.1332E-01  -1.9413E-02  -4.2178E-01  -2.9479E+02   1.6869E+00   2.0878E-01   1.6998E+00   2.7295E+02   2.2820E-14   1.7365E+02   1.0849E+01   1.3427E+00   5.9202E-01
 4.0387E-01  -2.0556E-02  -4.1227E-01  -3.2957E+02   1.7210E+00   2.0358E-01   1.7330E+00   2.7295E+02   2.3873E-14   1.7505E+02   1.1068E+01   1.3093E+00   5.9779E-01
 3.9409E-01  -2.1685E-02  -4.0242E-01  -3.6214E+02   1.7541E+00   1.9746E-01   1.7651E+00   2.7295E+02   2.4913E-14   1.7641E+02   1.1281E+01   1.2699E+00   6.0331E-01
 3.8398E-01  -2.2792E-02  -3.9225E-01  -3.9233E+02   1.7863E+00   1.9041E-01   1.7964E+00   2.7295E+02   2.5946E-14   1.7774E+02   1.1488E+01   1.2246E+00   6.0862E-01
 3.7356E-01  -2.3870E-02  -3.8177E-01  -4.1990E+02   1.8177E+00   1.8246E-01   1.8268E+00   2.7295E+02   2.6976E-14   1.7907E+02   1.1690E+01   1.1734E+00   6.1375E-01
 3.6285E-01  -2.4910E-02  -3.7101E-01  -4.4462E+02   1.8481E+00   1.7359E-01   1.8563E+00   2.7295E+02   2.7997E-14   1.8039E+02   1.1886E+01   1.1164E+00   6.1869E-01
 3.5188E-01  -2.5903E-02  -3.6000E-01  -4.6625E+02   1.8776E+00   1.6381E-01   1.8847E+00   2.7294E+02   2.9003E-14   1.8170E+02   1.2075E+01   1.0535E+00   6.2341E-01
 3.4068E-01  -2.6841E-02  -3.4877E-01  -4.8455E+02   1.9059E+00   1.5314E-01   1.9121E+00   2.7294E+02   2.9983E-14   1.8299E+02   1.2257E+01   9.8484E-01   6.2792E-01
 3.2928E-01  -2.7716E-02  -3.3733E-01  -4.9918E+02   1.9330E+00   1.4159E-01   1.9382E+00   2.7294E+02   3.0925E-14   1.8425E+02   1.2432E+01   9.1058E-01   6.3220E-01
 3.1772E-01  -2.8521E-02  -3.2574E-01  -5.0941E+02   1.9585E+00   1.2920E-01   1.9628E+00   2.7294E+02   3.1818E-14   1.8549E+02   1.2595E+01   8.3091E-01   6.3619E-01
 3.0603E-01  -2.9249E-02  -3.1402E-01  -5.1522E+02   1.9820E+00   1.1615E-01   1.9854E+00   2.7294E+02   3.2653E-14   1.8671E+02   1.2746E+01   7.4698E-01   6.3985E-01
 2.9424E-01  -2.9896E-02  -3.0222E-01  -5.1690E+02   2.0035E+00   1.0261E-01   2.0061E+00   2.7294E+02   3.3428E-14   1.8791E+02   1.2885E+01   6.5989E-01   6.4318E-01
 2.8240E-01  -3.0459E-02  -2.9037E-01  -5.1462E+02   2.0232E+00   8.8674E-02   2.0251E+00   2.7294E+02   3.4148E-14   1.8909E+02   1.3011E+01   5.7027E-01   6.4622E-01
 2.7055E-01  -3.0935E-02  -2.7850E-01  -5.0878E+02   2.0413E+00   7.4440E-02   2.0426E+00   2.7293E+02   3.4820E-14   1.9026E+02   1.3127E+01   4.7873E-01   6.4901E-01
 2.5872E-01  -3.1323E-02  -2.6667E-01  -4.9983E+02   2.0581E+00   5.9942E-02   2.0590E+00   2.7293E+02   3.5446E-14   1.9141E+02   1.3236E+01   3.8548E-01   6.5160E-01
 2.4696E-01  -3.1622E-02  -2.5491E-01  -4.8743E+02   2.0738E+00   4.5113E-02   2.0743E+00   2.7293E+02   3.6025E-14   1.9256E+02   1.3337E+01   2.9012E-01   6.5403E-01
 2.3531E-01  -3.1832E-02  -2.4326E-01  -4.7146E+02   2.0882E+00   3.0004E-02   2.0884E+00   2.7293E+02   3.6548E-14   1.9370E+02   1.3429E+01   1.9295E-01   6.5625E-01
 2.2380E-01  -3.1956E-02  -2.3175E-01  -4.5189E+02   2.1012E+00   1.4694E-02   2.1013E+00   2.7293E+02   3.7009E-14   1.9483E+02   1.3513E+01   9.4497E-02   6.5826E-01
 2.1247E-01  -3.1994E-02  -2.2042E-01  -4.2864E+02   2.1127E+00  -7.2906E-04   2.1127E+00   2.7293E+02   3.7403E-14   1.9594E+02   1.3586E+01  -4.6885E-03   6.6005E-01
 2.0136E-01  -3.1950E-02  -2.0930E-01  -4.0187E+02   2.1225E+00  -1.6143E-02   2.1225E+00   2.7293E+02   3.7729E-14   1.9703E+02   1.3649E+01  -1.0381E-01   6.6159E-01
 1.9048E-01  -3.1829E-02  -1.9842E-01  -3.7188E+02   2.1307E+00  -3.1434E-02   2.1310E+00   2.7293E+02   3.7989E-14   1.9811E+02   1.3702E+01  -2.0215E-01   6.6290E-01
 1.7988E-01  -3.1636E-02  -1.8782E-01  -3.3895E+02   2.1375E+00  -4.6526E-02   2.1380E+00   2.7292E+02   3.8188E-14   1.9918E+02   1.3746E+01  -2.9920E-01   6.6400E-01
 1.6957E-01  -3.1376E-02  -1.7750E-01  -3.0343E+02   2.1429E+00  -6.1346E-02   2.1438E+00   2.7292E+02   3.8330E-14   2.0024E+02   1.3781E+01  -3.9451E-01   6.6490E-01
 1.5957E-01  -3.1057E-02  -1.6750E-01  -2.6585E+02   2.1472E+00  -7.5841E-02   2.1485E+00   2.7292E+02   3.8424E-14   2.0129E+02   1.3808E+01  -4.8772E-01   6.6563E-01
