#        X=           Y=           S=           P=           U=           V=         Vel=           T=         mut=         hcv=          Ax=          Ay=       Yplus=
 9.9902E-01  -1.3955E-03  -1.0186E+00   4.7575E+02   1.3419E+00   1.9221E-01   1.3556E+00   2.6204E+02   7.7761E-13   3.5732E+03   3.3867E+00   4.8511E-01   1.0140E+00
 9.7881E-01  -4.1857E-03  -9.9825E-01   3.8200E+02   1.2809E+00   1.7512E-01   1.2928E+00   2.6204E+02   1.9123E-13   4.7021E+03   4.2541E+00   5.8161E-01   8.6319E-01
 9.5823E-01  -6.9654E-03  -9.7747E-01   3.0042E+02   1.3803E+00   1.8408E-01   1.3925E+00   2.6204E+02   2.1627E-13   4.7023E+03   4.5844E+00   6.1139E-01   8.9585E-01
 9.3729E-01  -9.7237E-03  -9.5635E-01   2.4138E+02   1.4757E+00   1.9195E-01   1.4881E+00   2.6204E+02   2.4275E-13   4.7023E+03   4.9011E+00   6.3752E-01   9.2608E-01
 9.1602E-01  -1.2456E-02  -9.3490E-01   1.9238E+02   1.5426E+00   1.9565E-01   1.5549E+00   2.6204E+02   2.6332E-13   4.7023E+03   5.1233E+00   6.4982E-01   9.4665E-01
 8.9445E-01  -1.5157E-02  -9.1317E-01   1.5143E+02   1.5989E+00   1.9780E-01   1.6110E+00   2.6204E+02   2.8481E-13   4.7023E+03   5.3103E+00   6.5697E-01   9.6358E-01
 8.7262E-01  -1.7824E-02  -8.9118E-01   1.1612E+02   1.6463E+00   1.9859E-01   1.6583E+00   2.6204E+02   3.0436E-13   4.7023E+03   5.4679E+00   6.5957E-01   9.7760E-01
 8.5056E-01  -2.0451E-02  -8.6897E-01   8.4986E+01   1.6882E+00   1.9851E-01   1.6998E+00   2.6204E+02   3.2251E-13   4.7023E+03   5.6071E+00   6.5933E-01   9.8978E-01
 8.2832E-01  -2.3033E-02  -8.4657E-01   5.7545E+01   1.7257E+00   1.9764E-01   1.7369E+00   2.6204E+02   3.3952E-13   4.7023E+03   5.7314E+00   6.5642E-01   1.0005E+00
 8.0591E-01  -2.5566E-02  -8.2402E-01   3.2403E+01   1.7599E+00   1.9635E-01   1.7708E+00   2.6204E+02   3.5575E-13   4.7023E+03   5.8451E+00   6.5213E-01   1.0102E+00
 7.8339E-01  -2.8045E-02  -8.0136E-01   9.4513E+00   1.7917E+00   1.9451E-01   1.8022E+00   2.6204E+02   3.7114E-13   4.7023E+03   5.9508E+00   6.4601E-01   1.0192E+00
 7.6079E-01  -3.0464E-02  -7.7863E-01  -1.1498E+01   1.8214E+00   1.9220E-01   1.8315E+00   2.6204E+02   3.8596E-13   4.7023E+03   6.0493E+00   6.3834E-01   1.0274E+00
 7.3815E-01  -3.2819E-02  -7.5587E-01  -3.1321E+01   1.8497E+00   1.8964E-01   1.8594E+00   2.6204E+02   4.0060E-13   4.7023E+03   6.1434E+00   6.2984E-01   1.0352E+00
 7.1551E-01  -3.5105E-02  -7.3312E-01  -4.9809E+01   1.8772E+00   1.8665E-01   1.8865E+00   2.6204E+02   4.1515E-13   4.7023E+03   6.2348E+00   6.1992E-01   1.0427E+00
 6.9291E-01  -3.7316E-02  -7.1041E-01  -6.7362E+01   1.9040E+00   1.8334E-01   1.9128E+00   2.6204E+02   4.2967E-13   4.7023E+03   6.3237E+00   6.0893E-01   1.0499E+00
 6.7040E-01  -3.9448E-02  -6.8780E-01  -8.3752E+01   1.9301E+00   1.7960E-01   1.9385E+00   2.6204E+02   4.4426E-13   4.7023E+03   6.4106E+00   5.9650E-01   1.0570E+00
 6.4800E-01  -4.1495E-02  -6.6531E-01  -9.9723E+01   1.9561E+00   1.7560E-01   1.9639E+00   2.6204E+02   4.5905E-13   4.7023E+03   6.4967E+00   5.8323E-01   1.0639E+00
