#        X=           Y=           S=           P=           U=           V=         Vel=           T=         mut=         hcv=          Ax=          Ay=       Yplus=
 9.9902E-01  -1.3955E-03  -1.0186E+00   4.2475E+02   1.1620E+00   1.6559E-01   1.1737E+00   2.6204E+02   1.5835E-13   4.7049E+03   3.8615E+00   5.5030E-01   8.2193E-01
 9.7881E-01  -4.1857E-03  -9.9825E-01   3.8701E+02   1.2871E+00   1.7597E-01   1.2991E+00   2.6204E+02   1.7617E-13   4.7022E+03   4.2748E+00   5.8444E-01   8.6527E-01
 9.5823E-01  -6.9654E-03  -9.7747E-01   2.8883E+02   1.3751E+00   1.8336E-01   1.3873E+00   2.6204E+02   2.0797E-13   4.7023E+03   4.5671E+00   6.0899E-01   8.9416E-01
 9.3729E-01  -9.7237E-03  -9.5635E-01   2.3298E+02   1.4746E+00   1.9182E-01   1.4870E+00   2.6204E+02   2.3772E-13   4.7023E+03   4.8976E+00   6.3708E-01   9.2575E-01
 9.1602E-01  -1.2456E-02  -9.3490E-01   1.8372E+02   1.5420E+00   1.9558E-01   1.5544E+00   2.6204E+02   2.6246E-13   4.7023E+03   5.1215E+00   6.4959E-01   9.4648E-01
 8.9445E-01  -1.5157E-02  -9.1317E-01   1.4268E+02   1.5987E+00   1.9778E-01   1.6109E+00   2.6204E+02   2.8434E-13   4.7023E+03   5.3097E+00   6.5690E-01   9.6353E-01
 8.7262E-01  -1.7824E-02  -8.9118E-01   1.0736E+02   1.6467E+00   1.9863E-01   1.6586E+00   2.6204E+02   3.0416E-13   4.7023E+03   5.4692E+00   6.5972E-01   9.7771E-01
 8.5056E-01  -2.0451E-02  -8.6897E-01   7.6147E+01   1.6889E+00   1.9860E-01   1.7006E+00   2.6204E+02   3.2247E-13   4.7023E+03   5.6094E+00   6.5960E-01   9.8999E-01
 8.2832E-01  -2.3033E-02  -8.4657E-01   4.8830E+01   1.7267E+00   1.9776E-01   1.7379E+00   2.6204E+02   3.3964E-13   4.7023E+03   5.7348E+00   6.5681E-01   1.0008E+00
 8.0591E-01  -2.5566E-02  -8.2402E-01   2.3721E+01   1.7610E+00   1.9647E-01   1.7719E+00   2.6204E+02   3.5595E-13   4.7023E+03   5.8489E+00   6.5255E-01   1.0106E+00
