#        X=           Y=           S=           P=           U=           V=         Vel=           T=         mut=         hcv=          Ax=          Ay=       Yplus=
 5.2812E-01  -1.0736E-03  -5.3859E-01   5.0498E+03   3.8622E+00   7.0180E-01   3.9255E+00   2.6332E+02   2.4356E-02   1.0839E+04   6.5877E+01   8.7795E+00   3.4579E+01
 5.1741E-01  -2.8739E-03  -5.2772E-01   5.6629E+03   4.5617E+00   6.1350E-01   4.6028E+00   2.6330E+02   2.8058E-02   1.2327E+04   8.5630E+01   1.2868E+01   3.9303E+01
 5.0643E-01  -4.3344E-03  -5.1665E-01   3.9794E+03   4.6460E+00   6.0163E-01   4.6848E+00   2.6330E+02   2.8412E-02   1.2472E+04   8.8256E+01   1.1643E+01   3.9769E+01
 4.9528E-01  -5.7903E-03  -5.0540E-01   3.2653E+03   4.8297E+00   6.1250E-01   4.8683E+00   2.6329E+02   2.9426E-02   1.2875E+04   9.4135E+01   1.2120E+01   4.1067E+01
 4.8396E-01  -7.2276E-03  -4.9399E-01   2.4732E+03   4.9475E+00   6.1203E-01   4.9852E+00   2.6328E+02   3.0056E-02   1.3131E+04   9.7975E+01   1.2289E+01   4.1876E+01
 4.7249E-01  -8.6489E-03  -4.8243E-01   1.8197E+03   5.0591E+00   6.1126E-01   5.0959E+00   2.6328E+02   3.0653E-02   1.3375E+04   1.0168E+02   1.2449E+01   4.2644E+01
 4.6088E-01  -1.0053E-02  -4.7074E-01   1.1950E+03   5.1582E+00   6.0866E-01   5.1939E+00   2.6327E+02   3.1177E-02   1.3591E+04   1.0500E+02   1.2549E+01   4.3317E+01
 4.4916E-01  -1.1436E-02  -4.5894E-01   6.5208E+02   5.2487E+00   6.0319E-01   5.2833E+00   2.6326E+02   3.1656E-02   1.3790E+04   1.0809E+02   1.2587E+01   4.3933E+01
 4.3735E-01  -1.2793E-02  -4.4705E-01   1.8641E+02   5.3291E+00   5.9613E-01   5.3623E+00   2.6325E+02   3.2082E-02   1.3969E+04   1.1086E+02   1.2567E+01   4.4482E+01
 4.2546E-01  -1.4123E-02  -4.3508E-01  -2.6958E+02   5.4042E+00   5.8917E-01   5.4362E+00   2.6325E+02   3.2475E-02   1.4135E+04   1.1347E+02   1.2528E+01   4.4989E+01
 4.1351E-01  -1.5425E-02  -4.2306E-01  -6.8005E+02   5.4763E+00   5.8068E-01   5.5070E+00   2.6324E+02   3.2852E-02   1.4296E+04   1.1600E+02   1.2464E+01   4.5474E+01
 4.0152E-01  -1.6695E-02  -4.1101E-01  -1.0570E+03   5.5448E+00   5.7141E-01   5.5741E+00   2.6323E+02   3.3207E-02   1.4449E+04   1.1842E+02   1.2371E+01   4.5933E+01
 3.8953E-01  -1.7931E-02  -3.9895E-01  -1.4359E+03   5.6124E+00   5.6184E-01   5.6405E+00   2.6322E+02   3.3553E-02   1.4600E+04   1.2083E+02   1.2265E+01   4.6380E+01
 3.7753E-01  -1.9130E-02  -3.8690E-01  -1.7864E+03   5.6795E+00   5.5069E-01   5.7062E+00   2.6321E+02   3.3893E-02   1.4748E+04   1.2322E+02   1.2128E+01   4.6819E+01
 3.6557E-01  -2.0288E-02  -3.7488E-01  -2.0953E+03   5.7446E+00   5.3841E-01   5.7697E+00   2.6320E+02   3.4221E-02   1.4894E+04   1.2557E+02   1.1959E+01   4.7244E+01
 3.5365E-01  -2.1404E-02  -3.6291E-01  -2.4294E+03   5.8109E+00   5.2623E-01   5.8347E+00   2.6319E+02   3.4550E-02   1.5040E+04   1.2796E+02   1.1785E+01   4.7670E+01
 3.4180E-01  -2.2477E-02  -3.5101E-01  -2.7797E+03   5.8803E+00   5.1213E-01   5.9026E+00   2.6318E+02   3.4884E-02   1.5190E+04   1.3046E+02   1.1575E+01   4.8104E+01
