#        X=           Y=           S=           P=           U=           V=         Vel=           T=         mut=         hcv=          Ax=          Ay=       Yplus=
 5.2812E-01  -1.0736E-03  -5.3859E-01   6.5981E+02   2.9943E+01   5.4628E+00   3.0437E+01   2.6761E+02   2.5739E-04   1.1321E+02   5.2065E+00   6.9387E-01   3.8367E+01
 5.1741E-01  -2.8739E-03  -5.2772E-01   7.0736E+02   3.5364E+01   4.7572E+00   3.5682E+01   2.6755E+02   2.9426E-04   1.2647E+02   6.7554E+00   1.0152E+00   4.3455E+01
 5.0643E-01  -4.3344E-03  -5.1665E-01   5.7354E+02   3.6034E+01   4.6684E+00   3.6335E+01   2.6755E+02   2.9795E-04   1.2763E+02   6.9672E+00   9.1910E-01   4.3976E+01
 4.9528E-01  -5.7903E-03  -5.0540E-01   5.1678E+02   3.7456E+01   4.7519E+00   3.7756E+01   2.6752E+02   3.0812E-04   1.3146E+02   7.4285E+00   9.5646E-01   4.5382E+01
 4.8396E-01  -7.2276E-03  -4.9399E-01   4.5397E+02   3.8371E+01   4.7481E+00   3.8663E+01   2.6750E+02   3.1445E-04   1.3399E+02   7.7302E+00   9.6959E-01   4.6260E+01
 4.7249E-01  -8.6489E-03  -4.8243E-01   4.0225E+02   3.9235E+01   4.7417E+00   3.9520E+01   2.6748E+02   3.2046E-04   1.3643E+02   8.0205E+00   9.8199E-01   4.7092E+01
 4.6088E-01  -1.0053E-02  -4.7074E-01   3.5286E+02   4.0001E+01   4.7213E+00   4.0279E+01   2.6746E+02   3.2572E-04   1.3863E+02   8.2811E+00   9.8966E-01   4.7823E+01
 4.4916E-01  -1.1436E-02  -4.5894E-01   3.1000E+02   4.0702E+01   4.6786E+00   4.0970E+01   2.6744E+02   3.3052E-04   1.4071E+02   8.5225E+00   9.9245E-01   4.8491E+01
 4.3735E-01  -1.2793E-02  -4.4705E-01   2.7331E+02   4.1323E+01   4.6235E+00   4.1581E+01   2.6741E+02   3.3481E-04   1.4263E+02   8.7398E+00   9.9068E-01   4.9087E+01
 4.2546E-01  -1.4123E-02  -4.3508E-01   2.3740E+02   4.1904E+01   4.5694E+00   4.2152E+01   2.6739E+02   3.3876E-04   1.4444E+02   8.9441E+00   9.8746E-01   4.9638E+01
 4.1351E-01  -1.5425E-02  -4.2306E-01   2.0513E+02   4.2462E+01   4.5033E+00   4.2700E+01   2.6737E+02   3.4254E-04   1.4625E+02   9.1421E+00   9.8228E-01   5.0165E+01
 4.0152E-01  -1.6695E-02  -4.1101E-01   1.7553E+02   4.2991E+01   4.4312E+00   4.3219E+01   2.6735E+02   3.4612E-04   1.4800E+02   9.3316E+00   9.7482E-01   5.0664E+01
 3.8953E-01  -1.7931E-02  -3.9895E-01   1.4581E+02   4.3515E+01   4.3569E+00   4.3732E+01   2.6732E+02   3.4960E-04   1.4974E+02   9.5195E+00   9.6629E-01   5.1150E+01
 3.7753E-01  -1.9130E-02  -3.8690E-01   1.1834E+02   4.4034E+01   4.2703E+00   4.4240E+01   2.6730E+02   3.5301E-04   1.5152E+02   9.7069E+00   9.5536E-01   5.1628E+01
 3.6557E-01  -2.0288E-02  -3.7488E-01   9.4205E+01   4.4537E+01   4.1748E+00   4.4732E+01   2.6727E+02   3.5632E-04   1.5331E+02   9.8900E+00   9.4190E-01   5.2092E+01
 3.5365E-01  -2.1404E-02  -3.6291E-01   6.8086E+01   4.5050E+01   4.0803E+00   4.5234E+01   2.6725E+02   3.5962E-04   1.5509E+02   1.0077E+01   9.2808E-01   5.2556E+01
 3.4180E-01  -2.2477E-02  -3.5101E-01   4.0694E+01   4.5586E+01   3.9709E+00   4.5759E+01   2.6722E+02   3.6299E-04   1.5695E+02   1.0273E+01   9.1145E-01   5.3029E+01
 3.3004E-01  -2.3499E-02  -3.3921E-01   2.1445E+01   4.6094E+01   3.8357E+00   4.6253E+01   2.6719E+02   3.6619E-04   1.5882E+02   1.0459E+01   8.8891E-01   5.3480E+01
 3.1839E-01  -2.4468E-02  -3.2751E-01   3.1319E+00   4.6574E+01   3.7084E+00   4.6721E+01   2.6716E+02   3.6917E-04   1.6065E+02   1.0636E+01   8.6509E-01   5.3901E+01
 3.0686E-01  -2.5385E-02  -3.1595E-01  -1.8369E+01   4.7089E+01   3.5825E+00   4.7225E+01   2.6713E+02   3.7230E-04   1.6258E+02   1.0826E+01   8.4260E-01   5.4344E+01
 2.9547E-01  -2.6251E-02  -3.0453E-01  -3.9233E+01   4.7638E+01   3.4361E+00   4.7762E+01   2.6709E+02   3.7558E-04   1.6465E+02   1.1029E+01   8.1716E-01   5.4809E+01
 2.8425E-01  -2.7061E-02  -2.9327E-01  -5.8883E+01   4.8195E+01   3.2720E+00   4.8306E+01   2.6706E+02   3.7886E-04   1.6667E+02   1.1236E+01   7.8660E-01   5.5274E+01
 2.7320E-01  -2.7811E-02  -2.8220E-01  -7.6219E+01   4.8752E+01   3.0922E+00   4.8850E+01   2.6702E+02   3.8208E-04   1.6888E+02   1.1443E+01   7.5161E-01   5.5732E+01
 2.6234E-01  -2.8501E-02  -2.7131E-01  -9.1807E+01   4.9309E+01   2.9005E+00   4.9394E+01   2.6698E+02   3.8524E-04   1.7120E+02   1.1650E+01   7.1285E-01   5.6183E+01
 2.5168E-01  -2.9128E-02  -2.6064E-01  -1.0537E+02   4.9872E+01   2.6963E+00   4.9945E+01   2.6694E+02   3.8840E-04   1.7318E+02   1.1861E+01   6.7118E-01   5.6633E+01
 2.4124E-01  -2.9695E-02  -2.5018E-01  -1.2035E+02   5.0457E+01   2.4816E+00   5.0518E+01   2.6689E+02   3.9162E-04   1.7579E+02   1.2080E+01   6.2643E-01   5.7095E+01
 2.3103E-01  -3.0200E-02  -2.3996E-01  -1.3311E+02   5.1061E+01   2.2419E+00   5.1111E+01   2.6685E+02   3.9490E-04   1.7828E+02   1.2307E+01   5.7643E-01   5.7565E+01
 2.2105E-01  -3.0641E-02  -2.2997E-01  -1.4352E+02   5.1665E+01   1.9831E+00   5.1704E+01   2.6680E+02   3.9812E-04   1.8063E+02   1.2535E+01   5.2056E-01   5.8028E+01
 2.1132E-01  -3.1019E-02  -2.2023E-01  -1.5265E+02   5.2275E+01   1.7079E+00   5.2303E+01   2.6674E+02   4.0132E-04   1.8361E+02   1.2765E+01   4.5983E-01   5.8490E+01
 2.0184E-01  -3.1334E-02  -2.1075E-01  -1.5907E+02   5.2884E+01   1.4118E+00   5.2903E+01   2.6671E+02   4.0447E-04   1.8576E+02   1.2997E+01   3.9352E-01   5.8943E+01
 1.9262E-01  -3.1586E-02  -2.0153E-01  -1.6145E+02   5.3490E+01   1.0971E+00   5.3501E+01   2.6661E+02   4.0758E-04   1.8963E+02   1.3227E+01   3.2204E-01   5.9398E+01
 1.8367E-01  -3.1777E-02  -1.9257E-01  -1.6448E+02   5.4107E+01   7.7141E-01   5.4113E+01   2.6659E+02   4.1073E-04   1.9136E+02   1.3464E+01   2.4735E-01   5.9850E+01
 1.7498E-01  -3.1911E-02  -1.8388E-01  -1.6914E+02   5.4753E+01   4.1980E-01   5.4755E+01   2.6654E+02   4.1396E-04   1.9427E+02   1.3712E+01   1.6627E-01   6.0315E+01
 1.6657E-01  -3.1986E-02  -1.7547E-01  -1.6517E+02   5.5375E+01   2.7281E-02   5.5375E+01   2.6635E+02   4.1704E-04   2.0107E+02   1.3952E+01   7.5077E-02   6.0789E+01
 1.5843E-01  -3.2001E-02  -1.6733E-01  -1.5709E+02   5.5967E+01  -3.7274E-01   5.5969E+01   2.6647E+02   4.1996E-04   1.9852E+02   1.4183E+01  -2.1348E-02   6.1181E+01
 1.5056E-01  -3.1962E-02  -1.5946E-01  -1.5027E+02   5.6566E+01  -7.8213E-01   5.6572E+01   2.6632E+02   4.2293E-04   2.0401E+02   1.4418E+01  -1.1917E-01   6.1632E+01
 1.4296E-01  -3.1874E-02  -1.5187E-01  -1.4506E+02   5.7194E+01  -1.2226E+00   5.7207E+01   2.6607E+02   4.2601E-04   2.1288E+02   1.4662E+01  -2.2412E-01   6.2106E+01
 1.3564E-01  -3.1735E-02  -1.4454E-01  -1.3006E+02   5.7779E+01  -1.7078E+00   5.7804E+01   2.6626E+02   4.2880E-04   2.0811E+02   1.4898E+01  -3.4010E-01   6.2485E+01
 1.2859E-01  -3.1547E-02  -1.3749E-01  -1.1146E+02   5.8335E+01  -2.1995E+00   5.8376E+01   2.6606E+02   4.3156E-04   2.1545E+02   1.5117E+01  -4.6091E-01   6.2898E+01
 1.2181E-01  -3.1315E-02  -1.3070E-01  -9.4020E+01   5.8883E+01  -2.7062E+00   5.8945E+01   2.6588E+02   4.3428E-04   2.2201E+02   1.5341E+01  -5.8345E-01   6.3332E+01
