#        X=           Y=           S=           P=           U=           V=         Vel=           T=         mut=         hcv=          Ax=          Ay=       Yplus=
 5.2812E-01  -1.0736E-03  -5.3859E-01   3.8404E+02   2.9000E+01   5.2677E+00   2.9474E+01   2.6762E+02   2.4760E-04   1.1004E+02   4.9050E+00   6.5370E-01   3.7072E+01
 5.1741E-01  -2.8739E-03  -5.2772E-01   4.2887E+02   3.4261E+01   4.6065E+00   3.4569E+01   2.6755E+02   2.8391E-04   1.2306E+02   6.3734E+00   9.5778E-01   4.2063E+01
 5.0643E-01  -4.3344E-03  -5.1665E-01   3.0250E+02   3.4910E+01   4.5205E+00   3.5202E+01   2.6756E+02   2.8752E-04   1.2419E+02   6.5736E+00   8.6717E-01   4.2570E+01
 4.9528E-01  -5.7903E-03  -5.0540E-01   2.4868E+02   3.6294E+01   4.6026E+00   3.6585E+01   2.6753E+02   2.9750E-04   1.2794E+02   7.0114E+00   9.0276E-01   4.3947E+01
 4.8396E-01  -7.2276E-03  -4.9399E-01   1.8918E+02   3.7185E+01   4.5997E+00   3.7468E+01   2.6751E+02   3.0372E-04   1.3041E+02   7.2979E+00   9.1538E-01   4.4807E+01
 4.7249E-01  -8.6489E-03  -4.8243E-01   1.4010E+02   3.8026E+01   4.5943E+00   3.8303E+01   2.6749E+02   3.0962E-04   1.3280E+02   7.5738E+00   9.2730E-01   4.5623E+01
 4.6088E-01  -1.0053E-02  -4.7074E-01   9.3231E+01   3.8773E+01   4.5750E+00   3.9042E+01   2.6747E+02   3.1478E-04   1.3496E+02   7.8214E+00   9.3473E-01   4.6338E+01
 4.4916E-01  -1.1436E-02  -4.5894E-01   5.2512E+01   3.9455E+01   4.5340E+00   3.9715E+01   2.6745E+02   3.1950E-04   1.3699E+02   8.0509E+00   9.3753E-01   4.6993E+01
 4.3735E-01  -1.2793E-02  -4.4705E-01   1.7596E+01   4.0061E+01   4.4811E+00   4.0310E+01   2.6742E+02   3.2371E-04   1.3886E+02   8.2575E+00   9.3601E-01   4.7577E+01
 4.2546E-01  -1.4123E-02  -4.3508E-01  -1.6577E+01   4.0626E+01   4.4289E+00   4.0867E+01   2.6740E+02   3.2760E-04   1.4065E+02   8.4517E+00   9.3310E-01   4.8116E+01
 4.1351E-01  -1.5425E-02  -4.2306E-01  -4.7328E+01   4.1169E+01   4.3652E+00   4.1400E+01   2.6738E+02   3.3131E-04   1.4241E+02   8.6400E+00   9.2833E-01   4.8633E+01
 4.0152E-01  -1.6695E-02  -4.1101E-01  -7.5560E+01   4.1685E+01   4.2956E+00   4.1906E+01   2.6736E+02   3.3482E-04   1.4412E+02   8.8202E+00   9.2140E-01   4.9122E+01
 3.8953E-01  -1.7931E-02  -3.9895E-01  -1.0392E+02   4.2195E+01   4.2238E+00   4.2406E+01   2.6733E+02   3.3824E-04   1.4584E+02   8.9989E+00   9.1345E-01   4.9599E+01
 3.7753E-01  -1.9130E-02  -3.8690E-01  -1.3016E+02   4.2700E+01   4.1400E+00   4.2901E+01   2.6731E+02   3.4159E-04   1.4757E+02   9.1771E+00   9.0321E-01   5.0067E+01
 3.6557E-01  -2.0288E-02  -3.7488E-01  -1.5326E+02   4.3190E+01   4.0477E+00   4.3380E+01   2.6728E+02   3.4484E-04   1.4930E+02   9.3512E+00   8.9059E-01   5.0521E+01
