#        X=           Y=           S=           P=           U=           V=         Vel=           T=         mut=         hcv=          Ax=          Ay=       Yplus=
 9.9856E-01  -1.1761E-02  -1.0250E+00  -1.7136E+03   1.4644E+01  -9.2377E+00   1.7314E+01   2.6946E+02   3.4909E-04   6.1936E+01   8.3883E-01   5.6015E-01   4.9208E+01
 9.9474E-01  -1.2277E-02  -1.0208E+00  -4.7772E+02   6.1482E+01  -1.5799E+01   6.3479E+01   2.6702E+02   7.7883E-04   1.8104E+02   1.5831E+01  -2.9538E+00   1.1125E+02
 9.8918E-01  -1.0301E-02  -1.0149E+00   3.2185E+02   4.6064E+01  -2.2806E+01   5.1401E+01   2.6630E+02   6.4064E-04   1.5729E+02   9.1251E+00  -4.3991E+00   9.2228E+01
 9.8231E-01  -6.7083E-03  -1.0071E+00   1.3301E+03   3.3851E+01  -1.6173E+01   3.7516E+01   2.6677E+02   5.7207E-04   1.2921E+02   5.6777E+00  -3.1686E+00   8.2118E+01
 9.7483E-01  -2.8908E-03  -9.9873E-01   1.7532E+03   2.1567E+01  -8.3336E+00   2.3121E+01   2.6720E+02   4.3515E-04   9.5291E+01   2.8636E+00  -1.3276E+00   6.2502E+01
 9.6737E-01  -1.2079E-04  -9.9075E-01   1.8418E+03   1.6798E+01  -3.8390E+00   1.7231E+01   2.6762E+02   3.5703E-04   7.5383E+01   1.9261E+00  -5.3247E-01   5.1385E+01
 9.6003E-01   1.3783E-03  -9.8324E-01   1.7701E+03   1.7299E+01  -2.2419E+00   1.7444E+01   2.6781E+02   3.4291E-04   7.0770E+01   1.9514E+00  -2.5754E-01   4.9492E+01
 9.5245E-01   2.2042E-03  -9.7562E-01   1.6700E+03   2.1549E+01  -2.4703E+00   2.1690E+01   2.6747E+02   3.7521E-04   8.1510E+01   2.6427E+00  -2.3091E-01   5.4279E+01
 9.4423E-01   3.0897E-03  -9.6735E-01   1.6753E+03   2.3876E+01  -3.0203E+00   2.4067E+01   2.6698E+02   4.0154E-04   9.3815E+01   3.0956E+00  -3.9014E-01   5.8087E+01
 9.3518E-01   4.2906E-03  -9.5822E-01   1.7399E+03   2.1760E+01  -2.5648E+00   2.1911E+01   2.6705E+02   3.8959E-04   9.0238E+01   2.7369E+00  -3.8016E-01   5.6276E+01
 9.2542E-01   5.4871E-03  -9.4839E-01   1.7838E+03   1.9620E+01  -1.6492E+00   1.9689E+01   2.6713E+02   3.6527E-04   8.4428E+01   2.3379E+00  -2.5100E-01   5.2798E+01
 9.1509E-01   6.3305E-03  -9.3802E-01   1.7756E+03   1.8712E+01  -8.2796E-01   1.8730E+01   2.6720E+02   3.5112E-04   8.0970E+01   2.1634E+00  -1.2365E-01   5.0804E+01
 9.0420E-01   6.7804E-03  -9.2711E-01   1.7555E+03   1.8775E+01  -3.7921E-01   1.8778E+01   2.6720E+02   3.5227E-04   8.1159E+01   2.1788E+00  -5.7236E-02   5.0960E+01
 8.9266E-01   7.0016E-03  -9.1557E-01   1.7506E+03   1.8551E+01  -6.7441E-02   1.8551E+01   2.6718E+02   3.5435E-04   8.1769E+01   2.1627E+00  -2.7025E-02   5.1214E+01
 8.8044E-01   7.0296E-03  -9.0335E-01   1.7455E+03   1.7865E+01   3.2330E-01   1.7868E+01   2.6722E+02   3.5064E-04   8.0519E+01   2.0641E+00   1.5206E-02   5.0640E+01
 8.6756E-01   6.7515E-03  -8.9047E-01   1.7238E+03   1.7497E+01   7.5315E-01   1.7514E+01   2.6726E+02   3.4802E-04   7.9449E+01   2.0092E+00   7.0536E-02   5.0245E+01
 8.5402E-01   6.1136E-03  -8.7691E-01   1.6937E+03   1.7541E+01   1.1253E+00   1.7577E+01   2.6729E+02   3.5141E-04   7.9694E+01   2.0299E+00   1.1883E-01   5.0701E+01
 8.3982E-01   5.1481E-03  -8.6267E-01   1.6631E+03   1.7645E+01   1.4570E+00   1.7705E+01   2.6730E+02   3.5691E-04   8.0527E+01   2.0675E+00   1.5914E-01   5.1450E+01
 8.2495E-01   3.8569E-03  -8.4775E-01   1.6271E+03   1.7683E+01   1.7951E+00   1.7774E+01   2.6733E+02   3.6221E-04   8.0941E+01   2.0962E+00   2.0181E-01   5.2163E+01
 8.0943E-01   2.2074E-03  -8.3214E-01   1.5828E+03   1.7877E+01   2.1480E+00   1.8006E+01   2.6737E+02   3.6922E-04   8.1621E+01   2.1520E+00   2.4933E-01   5.3123E+01
 7.9326E-01   1.8428E-04  -8.1585E-01   1.5310E+03   1.8258E+01   2.5122E+00   1.8430E+01   2.6740E+02   3.7856E-04   8.2877E+01   2.2424E+00   3.0077E-01   5.4418E+01
 7.7648E-01  -2.2102E-03  -7.9889E-01   1.4735E+03   1.8724E+01   2.8847E+00   1.8945E+01   2.6741E+02   3.8974E-04   8.4525E+01   2.3545E+00   3.5520E-01   5.5971E+01
 7.5909E-01  -4.9780E-03  -7.8129E-01   1.4092E+03   1.9176E+01   3.2692E+00   1.9452E+01   2.6745E+02   4.0219E-04   8.6169E+01   2.4736E+00   4.1362E-01   5.7696E+01
 7.4113E-01  -8.1394E-03  -7.6305E-01   1.3349E+03   1.9602E+01   3.6740E+00   1.9943E+01   2.6751E+02   4.1599E-04   8.7565E+01   2.5985E+00   4.7962E-01   5.9601E+01
 7.2264E-01  -1.1716E-02  -7.4421E-01   1.2511E+03   2.0084E+01   4.1097E+00   2.0500E+01   2.6759E+02   4.3263E-04   8.8985E+01   2.7486E+00   5.5517E-01   6.1895E+01
 7.0366E-01  -1.5734E-02  -7.2481E-01   1.1392E+03   2.0920E+01   4.6542E+00   2.1432E+01   2.6771E+02   4.5344E-04   9.0336E+01   2.9753E+00   6.5806E-01   6.4781E+01
 6.8423E-01  -2.0200E-02  -7.0488E-01   9.7352E+02   2.3052E+01   5.4430E+00   2.3685E+01   2.6782E+02   4.8411E-04   9.3487E+01   3.4603E+00   8.2546E-01   6.9099E+01
 6.6439E-01  -2.4992E-02  -6.8447E-01   7.4485E+02   2.7246E+01   6.4516E+00   2.7999E+01   2.6780E+02   5.3012E-04   1.0119E+02   4.4110E+00   1.0785E+00   7.5649E+01
 6.4413E-01  -2.9854E-02  -6.6363E-01   4.6218E+02   3.3170E+01   7.3215E+00   3.3968E+01   2.6764E+02   5.8713E-04   1.1343E+02   5.8485E+00   1.3768E+00   8.3805E+01
 6.2342E-01  -3.4432E-02  -6.4242E-01   2.1663E+02   3.9433E+01   7.4811E+00   4.0137E+01   2.6738E+02   6.4237E-04   1.2828E+02   7.5049E+00   1.5538E+00   9.1739E+01
 6.0227E-01  -3.8423E-02  -6.2090E-01   6.7980E+01   4.4042E+01   6.8545E+00   4.4572E+01   2.6714E+02   6.7943E-04   1.4001E+02   8.7995E+00   1.5025E+00   9.7086E+01
 5.8076E-01  -4.1746E-02  -5.9912E-01   2.1308E+00   4.6645E+01   5.8998E+00   4.7017E+01   2.6699E+02   6.9865E-04   1.4690E+02   9.5502E+00   1.3216E+00   9.9872E+01
 5.5898E-01  -4.4474E-02  -5.7717E-01  -9.6871E+00   4.7961E+01   4.9523E+00   4.8216E+01   2.6689E+02   7.0760E-04   1.5071E+02   9.9302E+00   1.1140E+00   1.0118E+02
 5.3703E-01  -4.6722E-02  -5.5511E-01  -2.9407E+00   4.8602E+01   4.1487E+00   4.8779E+01   2.6683E+02   7.1164E-04   1.5286E+02   1.0113E+01   9.3749E-01   1.0178E+02
 5.1500E-01  -4.8585E-02  -5.3300E-01   1.6751E+01   4.9016E+01   3.4508E+00   4.9138E+01   2.6678E+02   7.1386E-04   1.5458E+02   1.0227E+01   7.8265E-01   1.0211E+02
