#        X=           Y=           S=           P=           U=           V=         Vel=           T=         mut=         hcv=          Ax=          Ay=       Yplus=
 9.9033E-01   1.6544E-03  -1.0151E+00  -2.3278E+03   4.1481E+01  -1.0608E+01   4.2816E+01   2.7438E+02   9.0388E-03  -1.5687E+03   7.5688E+02  -1.9356E+02   7.2497E+02
 9.7059E-01   6.7777E-03  -9.9466E-01  -1.9068E+03   1.9781E+01  -3.8864E+00   2.0159E+01   2.7505E+02   7.6483E-03  -2.0317E+03   3.0316E+02  -5.9564E+01   4.7051E+02
 9.5013E-01   1.0405E-02  -9.7386E-01  -4.8447E+02   1.6628E+01  -2.0812E+00   1.6758E+01   2.7496E+02   6.8092E-03  -1.7175E+03   2.2648E+02  -2.8345E+01   4.0466E+02
 9.2909E-01   1.2650E-02  -9.5270E-01  -5.5528E+02   9.1063E+00  -5.3205E-01   9.1218E+00   2.7487E+02   6.9615E-03  -1.6646E+03   1.2685E+02  -7.4111E+00   3.1592E+02
 9.0763E-01   1.3614E-02  -9.3121E-01  -3.3897E+02   7.7234E+00  -4.7569E-02   7.7235E+00   2.7493E+02   5.7424E-03  -1.4282E+03   8.8819E+01  -5.4702E-01   2.8699E+02
 8.8584E-01   1.3493E-02  -9.0942E-01  -4.9248E+02   4.9461E+00   2.0464E-01   4.9503E+00   2.7503E+02   4.8017E-03  -1.2635E+03   4.7606E+01   1.9696E+00   2.6255E+02
 8.6382E-01   1.2418E-02  -8.8736E-01  -6.5137E+02   3.6555E+00   3.1397E-01   3.6690E+00   2.7505E+02   4.3074E-03  -1.1431E+03   3.1587E+01   2.7128E+00   2.4874E+02
 8.4161E-01   1.0542E-02  -8.6507E-01  -8.8875E+02   2.0845E+00   2.5918E-01   2.1006E+00   2.7505E+02   4.0380E-03  -1.0721E+03   1.6899E+01   2.1009E+00   2.4094E+02
 8.1927E-01   7.9774E-03  -8.4258E-01  -1.2142E+03   9.4977E-01   1.6289E-01   9.6364E-01   2.7502E+02   3.8721E-03  -1.0109E+03   7.3957E+00   1.2677E+00   2.3602E+02
 7.9686E-01   4.7660E-03  -8.1994E-01  -1.5966E+03   1.6282E-01   5.7426E-02   1.7265E-01   2.7496E+02   3.8760E-03  -9.8359E+02   1.2856E+00   4.4963E-01   2.3622E+02
 7.7442E-01   1.0208E-03  -7.9718E-01  -2.0874E+03  -6.2279E-01  -8.8351E-02   6.2902E-01   2.7489E+02   3.9792E-03  -9.7042E+02  -4.9499E+00  -7.0132E-01   2.3941E+02
 7.5199E-01  -3.2553E-03  -7.7435E-01  -2.7116E+03  -1.0572E+00  -2.0628E-01   1.0771E+00   2.7481E+02   4.1890E-03  -9.7008E+02  -8.8613E+00  -1.7286E+00   2.4569E+02
 7.2962E-01  -8.0086E-03  -7.5148E-01  -3.5045E+03  -1.0285E+00  -2.3510E-01   1.0551E+00   2.7470E+02   4.5784E-03  -9.9510E+02  -9.4290E+00  -2.1546E+00   2.5689E+02
 7.0735E-01  -1.3169E-02  -7.2862E-01  -4.5006E+03  -9.6231E-01  -2.5858E-01   9.9644E-01   2.7458E+02   5.2005E-03  -1.0417E+03  -1.0039E+01  -2.6960E+00   2.7385E+02
 6.8524E-01  -1.8780E-02  -7.0581E-01  -5.8686E+03  -2.8632E-02  -7.2011E-02   7.7495E-02   2.7444E+02   6.2488E-03  -1.1220E+03  -4.0454E-01  -9.1252E-01   3.0032E+02
 6.6328E-01  -2.4650E-02  -6.8308E-01  -7.7330E+03   2.8463E+00   6.4649E-01   2.9188E+00   2.7429E+02   8.3818E-03  -1.3311E+03   4.7818E+01   1.0861E+01   3.4814E+02
 6.4140E-01  -3.0291E-02  -6.6048E-01  -1.0363E+04   8.4541E+00   1.8802E+00   8.6607E+00   2.7421E+02   1.1573E-02  -1.7089E+03   1.9410E+02   4.3148E+01   4.2778E+02
 6.1952E-01  -3.5207E-02  -6.3805E-01  -1.3084E+04   1.6537E+01   3.1133E+00   1.6828E+01   2.7429E+02   1.0822E-02  -1.7192E+03   3.5689E+02   6.7172E+01   5.3700E+02
 5.9765E-01  -3.9197E-02  -6.1582E-01  -1.5483E+04   2.3566E+01   3.6435E+00   2.3846E+01   2.7425E+02   1.0870E-02  -1.6685E+03   5.1251E+02   7.9222E+01   6.2045E+02
 5.7590E-01  -4.2403E-02  -5.9383E-01  -1.7166E+04   2.9267E+01   3.7354E+00   2.9504E+01   2.7418E+02   1.1134E-02  -1.6021E+03   6.5277E+02   8.3307E+01   6.8393E+02
 5.5435E-01  -4.4988E-02  -5.7212E-01  -1.8092E+04   3.3233E+01   3.4914E+00   3.3416E+01   2.7412E+02   1.1451E-02  -1.5525E+03   7.6265E+02   8.0118E+01   7.2967E+02
 5.3305E-01  -4.7088E-02  -5.5072E-01  -1.8544E+04   3.5827E+01   3.1566E+00   3.5966E+01   2.7408E+02   1.1746E-02  -1.5233E+03   8.4342E+02   7.4308E+01   7.6247E+02
 5.1206E-01  -4.8812E-02  -5.2966E-01  -1.8639E+04   3.7588E+01   2.7723E+00   3.7690E+01   2.7405E+02   1.2016E-02  -1.5126E+03   9.0512E+02   6.6755E+01   7.8797E+02
 4.9142E-01  -5.0224E-02  -5.0897E-01  -1.8538E+04   3.8689E+01   2.3842E+00   3.8762E+01   2.7404E+02   1.2253E-02  -1.5198E+03   9.4986E+02   5.8536E+01   8.0724E+02
 4.7116E-01  -5.1379E-02  -4.8867E-01  -1.8340E+04   3.9374E+01   2.0293E+00   3.9426E+01   2.7403E+02   1.2463E-02  -1.5389E+03   9.8310E+02   5.0669E+01   8.2241E+02
 4.5130E-01  -5.2326E-02  -4.6880E-01  -1.8122E+04   3.9856E+01   1.7260E+00   3.9893E+01   2.7404E+02   1.2649E-02  -1.5627E+03   1.0099E+03   4.3735E+01   8.3515E+02
 4.3189E-01  -5.3102E-02  -4.4936E-01  -1.7896E+04   4.0319E+01   1.4593E+00   4.0345E+01   2.7404E+02   1.2819E-02  -1.5855E+03   1.0352E+03   3.7469E+01   8.4715E+02
 4.1293E-01  -5.3730E-02  -4.3039E-01  -1.7638E+04   4.0796E+01   1.2006E+00   4.0814E+01   2.7404E+02   1.2977E-02  -1.6085E+03   1.0604E+03   3.1206E+01   8.5896E+02
 3.9444E-01  -5.4220E-02  -4.1190E-01  -1.7335E+04   4.1281E+01   9.4499E-01   4.1292E+01   2.7404E+02   1.3125E-02  -1.6328E+03   1.0852E+03   2.4842E+01   8.7052E+02
 3.7644E-01  -5.4579E-02  -3.9389E-01  -1.6964E+04   4.1766E+01   6.8113E-01   4.1771E+01   2.7405E+02   1.3263E-02  -1.6601E+03   1.1095E+03   1.8094E+01   8.8181E+02
 3.5894E-01  -5.4813E-02  -3.7639E-01  -1.6503E+04   4.2172E+01   4.0564E-01   4.2174E+01   2.7406E+02   1.3393E-02  -1.6957E+03   1.1313E+03   1.0882E+01   8.9224E+02
 3.4196E-01  -5.4925E-02  -3.5941E-01  -1.5958E+04   4.2381E+01   1.3308E-01   4.2381E+01   2.7407E+02   1.3525E-02  -1.7453E+03   1.1481E+03   3.6047E+00   9.0114E+02
 3.2549E-01  -5.4934E-02  -3.4294E-01  -1.5396E+04   4.2378E+01  -9.5321E-02   4.2378E+01   2.7410E+02   1.3662E-02  -1.8062E+03   1.1596E+03  -2.6087E+00   9.0860E+02
 3.0955E-01  -5.4865E-02  -3.2700E-01  -1.4874E+04   4.2316E+01  -2.7339E-01   4.2317E+01   2.7412E+02   1.3814E-02  -1.8682E+03   1.1708E+03  -7.5640E+00   9.1621E+02
