#        X=           Y=           S=           P=           U=           V=         Vel=           T=         mut=         hcv=          Ax=          Ay=       Yplus=
 9.9043E-01   1.5930E-03  -1.0152E+00   1.4947E+04   3.4470E+01  -1.1913E+01   3.6470E+01   2.7401E+02   6.8051E-07  -2.5371E+02   1.3686E+02  -2.7815E+01   3.9187E+00
 9.7090E-01   6.6968E-03  -9.9498E-01   1.7938E+04   1.5430E+01  -3.4583E+00   1.5813E+01   2.7429E+02   5.8034E-08  -3.1580E+02   5.5032E+01  -1.2131E+01   2.6239E+00
 9.5065E-01   1.0347E-02  -9.7439E-01   2.0651E+04   1.0988E+01  -1.5073E+00   1.1091E+01   2.7419E+02   2.7171E-08  -2.8590E+02   3.8586E+01  -5.5533E+00   2.2235E+00
 9.2983E-01   1.2594E-02  -9.5344E-01   2.1479E+04   7.7923E+00  -5.9604E-01   7.8150E+00   2.7411E+02   1.4612E-08  -2.6108E+02   2.7150E+01  -2.1052E+00   1.8735E+00
 9.0858E-01   1.3599E-02  -9.3215E-01   2.1602E+04   6.1228E+00  -9.6971E-02   6.1235E+00   2.7404E+02   9.1836E-09  -2.4216E+02   2.1246E+01  -4.6575E-01   1.6597E+00
 8.8700E-01   1.3525E-02  -9.1057E-01   2.1535E+04   5.0117E+00   1.2322E-01   5.0132E+00   2.7399E+02   6.3035E-09  -2.2899E+02   1.7351E+01   4.3299E-01   1.5016E+00
 8.6517E-01   1.2510E-02  -8.8871E-01   2.0899E+04   4.3517E+00   3.0732E-01   4.3625E+00   2.7396E+02   4.8269E-09  -2.2001E+02   1.5051E+01   9.6970E-01   1.3973E+00
 8.4316E-01   1.0697E-02  -8.6662E-01   2.0359E+04   3.9847E+00   3.8221E-01   4.0030E+00   2.7394E+02   4.1061E-09  -2.1534E+02   1.3764E+01   1.3418E+00   1.3356E+00
 8.2101E-01   8.2028E-03  -8.4434E-01   1.9339E+04   3.7931E+00   4.9176E-01   3.8248E+00   2.7394E+02   3.7747E-09  -2.1342E+02   1.3104E+01   1.6628E+00   1.3000E+00
 7.9879E-01   5.0643E-03  -8.2189E-01   1.8241E+04   3.9179E+00   6.0552E-01   3.9644E+00   2.7394E+02   3.9740E-09  -2.1414E+02   1.3536E+01   2.0708E+00   1.3174E+00
 7.7652E-01   1.3939E-03  -7.9932E-01   1.7161E+04   3.9421E+00   6.9007E-01   4.0021E+00   2.7393E+02   3.9779E-09  -2.1325E+02   1.3613E+01   2.4032E+00   1.3177E+00
 7.5426E-01  -2.7981E-03  -7.7666E-01   1.6018E+04   3.7601E+00   7.6022E-01   3.8362E+00   2.7391E+02   3.5587E-09  -2.0739E+02   1.2990E+01   2.5900E+00   1.2839E+00
 7.3205E-01  -7.4735E-03  -7.5397E-01   1.5287E+04   3.0778E+00   6.7808E-01   3.1516E+00   2.7387E+02   2.4153E-09  -1.9578E+02   1.0616E+01   2.3345E+00   1.1602E+00
 7.0992E-01  -1.2548E-02  -7.3127E-01   1.4286E+04   1.9045E+00   4.4919E-01   1.9567E+00   2.7385E+02   1.2372E-09  -1.8918E+02   6.5519E+00   1.5741E+00   9.1024E-01
 6.8794E-01  -1.8069E-02  -7.0860E-01   1.0380E+04   2.5813E+00   6.8948E-01   2.6718E+00   2.7389E+02   2.5182E-09  -2.0176E+02   8.9137E+00   2.3087E+00   1.0451E+00
 6.6612E-01  -2.3891E-02  -6.8602E-01   2.6487E+03   8.9277E+00   2.4560E+00   9.2593E+00   2.7401E+02   1.8430E-08  -2.3614E+02   3.1176E+01   8.2208E+00   1.8755E+00
 6.4438E-01  -2.9556E-02  -6.6355E-01  -6.3650E+03   1.9489E+01   4.9865E+00   2.0116E+01   2.7406E+02   6.0791E-08  -2.5162E+02   6.9577E+01   1.7074E+01   2.6398E+00
 6.2265E-01  -3.4562E-02  -6.4124E-01  -1.2258E+04   2.9128E+01   6.1381E+00   2.9768E+01   2.7396E+02   5.1926E-08  -2.2755E+02   1.0609E+02   2.2204E+01   3.1095E+00
 6.0092E-01  -3.8657E-02  -6.1912E-01  -1.4963E+04   3.4855E+01   5.8178E+00   3.5337E+01   2.7384E+02   6.8719E-08  -1.9733E+02   1.2853E+02   2.1881E+01   3.3365E+00
 5.7928E-01  -4.1949E-02  -5.9724E-01  -1.5940E+04   3.7781E+01   5.1617E+00   3.8132E+01   2.7378E+02   7.8836E-08  -1.7969E+02   1.4036E+02   1.9367E+01   3.4469E+00
 5.5782E-01  -4.4607E-02  -5.7562E-01  -1.5763E+04   3.9207E+01   4.3318E+00   3.9446E+01   2.7376E+02   8.5239E-08  -1.7436E+02   1.4627E+02   1.6494E+01   3.5097E+00
 5.3661E-01  -4.6764E-02  -5.5429E-01  -1.5259E+04   3.9683E+01   3.6631E+00   3.9852E+01   2.7376E+02   8.8338E-08  -1.7650E+02   1.4838E+02   1.3829E+01   3.5383E+00
 5.1569E-01  -4.8536E-02  -5.3330E-01  -1.4536E+04   3.9828E+01   3.0680E+00   3.9945E+01   2.7378E+02   9.0494E-08  -1.8167E+02   1.4913E+02   1.1586E+01   3.5573E+00
 4.9511E-01  -4.9991E-02  -5.1266E-01  -1.3739E+04   3.9763E+01   2.5513E+00   3.9845E+01   2.7381E+02   9.1905E-08  -1.8861E+02   1.4903E+02   9.6538E+00   3.5691E+00
 4.7489E-01  -5.1182E-02  -4.9241E-01  -1.2972E+04   3.9616E+01   2.1200E+00   3.9673E+01   2.7383E+02   9.2912E-08  -1.9588E+02   1.4858E+02   8.0378E+00   3.5769E+00
 4.5507E-01  -5.2159E-02  -4.7256E-01  -1.2314E+04   3.9490E+01   1.7753E+00   3.9529E+01   2.7385E+02   9.3817E-08  -2.0240E+02   1.4819E+02   6.7202E+00   3.5837E+00
 4.3567E-01  -5.2962E-02  -4.5315E-01  -1.1766E+04   3.9452E+01   1.4950E+00   3.9480E+01   2.7387E+02   9.4939E-08  -2.0772E+02   1.4815E+02   5.6194E+00   3.5924E+00
