#        X=           Y=           S=           P=           U=           V=         Vel=           T=         mut=         hcv=          Ax=          Ay=       Yplus=
 9.9043E-01   1.5930E-03  -1.0152E+00   7.4682E+04   7.6659E+01  -2.3273E+01   8.0114E+01   3.9375E+02   4.6319E-05  -4.9720E+04   3.0891E+02  -9.3782E+01   5.7882E+01
 9.7090E-01   6.6968E-03  -9.9498E-01   6.3284E+04   1.1981E+00  -2.3130E-01   1.2202E+00   2.7966E+02   9.1620E-26  -2.5802E+04   3.9228E+01  -7.5732E+00   2.7542E-01
 9.5065E-01   1.0347E-02  -9.7439E-01   5.6703E+04   3.9576E-01  -5.3778E-02   3.9939E-01   2.7996E+02   3.9369E-14  -2.0652E+04   9.9216E+00  -1.3482E+00   1.7627E-01
 9.2983E-01   1.2594E-02  -9.5344E-01   4.7469E+04  -7.6647E-01   5.7514E-02   7.6863E-01   2.7779E+02   4.1018E-15  -1.9386E+04  -2.6295E+01   1.9730E+00   2.0368E-01
 9.0858E-01   1.3599E-02  -9.3215E-01   3.9617E+04  -1.0441E+00   2.0236E-02   1.0443E+00   2.7815E+02   6.9791E-15  -1.7756E+04  -3.0519E+01   5.9147E-01   2.5015E-01
 8.8700E-01   1.3525E-02  -9.1057E-01   3.1733E+04  -1.0434E+00  -2.6472E-02   1.0437E+00   2.7707E+02   1.8119E-15  -1.6579E+04  -3.6224E+01  -9.1901E-01   2.2334E-01
 8.6517E-01   1.2510E-02  -8.8871E-01   2.3307E+04  -1.1903E+00  -7.9939E-02   1.1929E+00   2.7722E+02   2.4220E-15  -1.5663E+04  -3.7565E+01  -2.5229E+00   2.4222E-01
 8.4316E-01   1.0697E-02  -8.6662E-01   1.5559E+04  -1.0702E+00  -1.0394E-01   1.0752E+00   2.7676E+02   1.2598E-15  -1.5214E+04  -3.6980E+01  -3.5917E+00   2.1292E-01
 8.2101E-01   8.2028E-03  -8.4434E-01   5.8307E+03  -1.0230E+00  -1.3106E-01   1.0314E+00   2.7668E+02   1.1849E-15  -1.4758E+04  -3.5001E+01  -4.4840E+00   2.0057E-01
 7.9879E-01   5.0643E-03  -8.2189E-01  -4.0171E+03  -7.2568E-01  -1.1152E-01   7.3420E-01   2.7670E+02   1.2805E-15  -1.4967E+04  -2.5090E+01  -3.8556E+00   1.6007E-01
 7.7652E-01   1.3939E-03  -7.9932E-01  -1.4117E+04  -2.3372E-01  -4.1312E-02   2.3734E-01   2.7675E+02   1.6020E-15  -1.5204E+04  -8.0865E+00  -1.4294E+00   7.8637E-02
 7.5426E-01  -2.7981E-03  -7.7666E-01  -2.3644E+04   9.0137E-01   1.8136E-01   9.1943E-01   2.7673E+02   2.0593E-15  -1.5046E+04   3.1039E+01   6.2451E+00   1.5699E-01
 7.3205E-01  -7.4735E-03  -7.5397E-01  -3.0841E+04   2.8861E+00   6.3534E-01   2.9553E+00   2.7651E+02   2.5332E-15  -1.4201E+04   1.0001E+02   2.2016E+01   2.7189E-01
 7.0992E-01  -1.2548E-02  -7.3127E-01  -3.6672E+04   5.3481E+00   1.2757E+00   5.4981E+00   2.7613E+02   3.4291E-15  -1.2513E+04   1.8371E+02   4.3821E+01   3.5752E-01
 6.8794E-01  -1.8069E-02  -7.0860E-01  -4.1859E+04   7.7364E+00   2.0423E+00   8.0014E+00   2.7572E+02   4.7109E-15  -1.0550E+04   2.5902E+02   6.8378E+01   4.1927E-01
 6.6612E-01  -2.3891E-02  -6.8602E-01  -4.3498E+04   8.8403E+00   2.3843E+00   9.1562E+00   2.7550E+02   4.8040E-15  -9.8767E+03   3.0325E+02   8.1791E+01   4.3706E-01
 6.4438E-01  -2.9556E-02  -6.6355E-01  -4.0062E+04   1.1260E+01   2.8312E+00   1.1610E+01   2.7598E+02   1.6033E-14  -1.0276E+04   3.3436E+02   8.4072E+01   5.4437E-01
 6.2265E-01  -3.4562E-02  -6.4124E-01  -3.1908E+04   1.0588E+01   2.2159E+00   1.0817E+01   2.7580E+02   1.0821E-14  -1.1230E+04   3.6626E+02   7.6655E+01   5.1905E-01
 6.0092E-01  -3.8657E-02  -6.1912E-01  -2.2947E+04   1.1732E+01   1.9653E+00   1.1895E+01   2.7624E+02   2.3051E-14  -1.2385E+04   3.8483E+02   6.4464E+01   5.9414E-01
 5.7928E-01  -4.1949E-02  -5.9724E-01  -1.5328E+04   1.1567E+01   1.5812E+00   1.1674E+01   2.7631E+02   2.4124E-14  -1.3284E+04   3.9736E+02   5.4318E+01   6.0283E-01
 5.5782E-01  -4.4607E-02  -5.7562E-01  -8.5664E+03   1.1883E+01   1.3182E+00   1.1956E+01   2.7651E+02   3.1701E-14  -1.4091E+04   4.0780E+02   4.5238E+01   6.3403E-01
 5.3661E-01  -4.6764E-02  -5.5429E-01  -3.1703E+03   1.1976E+01   1.1059E+00   1.2027E+01   2.7663E+02   3.6486E-14  -1.4705E+04   4.1465E+02   3.8292E+01   6.5139E-01
 5.1569E-01  -4.8536E-02  -5.3330E-01   1.4764E+03   1.2151E+01   9.3592E-01   1.2187E+01   2.7675E+02   4.2683E-14  -1.5230E+04   4.2118E+02   3.2441E+01   6.7073E-01
 4.9511E-01  -4.9991E-02  -5.1266E-01   5.5292E+03   1.2319E+01   7.9065E-01   1.2344E+01   2.7686E+02   4.8933E-14  -1.5684E+04   4.2722E+02   2.7420E+01   6.8808E-01
 4.7489E-01  -5.1182E-02  -4.9241E-01   9.0214E+03   1.2479E+01   6.6827E-01   1.2497E+01   2.7695E+02   5.5067E-14  -1.6073E+04   4.3294E+02   2.3185E+01   7.0343E-01
